session,modelname_new,body_mass_kg,height_m,rta_mass_kg,rta_length_m,rta_depth_radius_m,rta_shoulder_radius_m,rta_ixx_kg_m2,rta_iyy_kg_m2,rta_izz_kg_m2,rta_izz_frame_mean_kg_m2,rta_izz_frame_sd_kg_m2,rta_izz_frame_range_kg_m2,rta_izz_max_frame_deviation_pct,rta_izz_mean_coordinate_difference_pct,max_static_marker_spread_m,izz_pred_constant_kz_loocv,izz_ape_constant_kz_loocv_pct,izz_pred_mass_height_sq_loocv,izz_ape_mass_height_sq_loocv_pct,izz_pred_mass_power_loocv,izz_ape_mass_power_loocv_pct,izz_pred_mass_height_power_loocv,izz_ape_mass_height_power_loocv_pct,izz_pred_mass_height_both_power_loocv,izz_ape_mass_height_both_power_loocv_pct
1031,000750_001031_model.c3d,110.6784,1.9304,39.290831999999995,0.27416169923453154,0.08499162356031806,0.1449742885983876,0.3170618399681747,0.4525559625359183,0.27740427957699343,0.27740429758477875,2.9284632267272585e-05,0.00010283103972513752,0.02435842029378234,-6.4915311854319906e-06,0.00030399140996033926,0.2753812742853154,0.7292624665931129,0.2951787112051455,6.40741074912609,0.3043859885499915,9.726493410318604,0.2756042677827598,0.6488767213607536,0.3038061336444332,9.517464585513705
1097,000774_001097_model.c3d,101.1528,1.9304,35.909244,0.2648652474130138,0.08570806935947844,0.16215682530290595,0.2758764140540489,0.44598714658708705,0.30200310826101145,0.30200392843599116,0.0005892001034217961,0.001701137116606799,0.28816607476116657,-0.00027157832395586644,0.0011727936920390425,0.25108254724413925,16.86093938240636,0.26903430515988,10.916709861355985,0.2621966228253005,13.180819781930033,0.2509186867169206,16.915197276691693,0.2608274470955625,13.634184562717207
1170,000653_001170_model.c3d,82.1016,1.9304,29.146068,0.23973639696308963,0.07972131368837827,0.14968090100367765,0.18590334579761839,0.30284381385524367,0.20955920867262676,0.20955921387243787,1.2644050843323449e-05,4.036367514503869e-05,0.014088976443559179,-2.4813088111970285e-06,0.00011223440512034977,0.20425791588842773,2.529735065224788,0.2188279482240133,4.4229693412643885,0.1887922328397968,9.909836921207372,0.20436247856694853,2.4798385805114176,0.18625118607949573,11.12240437476685
1250,000738_001250_model.c3d,78.4728,1.7526,27.857844,0.2369445944537094,0.07793742785253804,0.14796672950406234,0.17263846911834616,0.2828156179823678,0.194784801087989,0.19478507347220197,2.2014078827728165e-05,7.051737795676916e-05,0.018948167531687023,-0.00013983853536886785,0.0005431777545224438,0.19527453464639294,0.25142288087595804,0.1722034221313615,11.592988174897156,0.17562805310891777,9.834826881804641,0.1847912549788798,5.130557442515696,0.17657296410362233,9.349721786629518
1313,000789_001313_model.c3d,84.3696,1.8288,29.951208,0.23877113985472265,0.07215514019927959,0.1410771382856476,0.18128155836814533,0.2913252519183958,0.18801214294549778,0.18801214635067504,1.3121036612019316e-05,3.917823224100503e-05,0.013840165817024453,-1.8111475130987704e-06,0.00015365252553293255,0.21013336038388727,11.765845062891568,0.20185499914999558,7.362745824619771,0.19758350607775813,5.090821785396569,0.20399963057669004,8.503433544623135,0.19765601698110657,5.129388923780535
1346,000894_001346_model.c3d,72.1224,1.8288,25.603451999999997,0.236941753012021,0.07898580117742,0.13733172810256214,0.1597178853793034,0.24050475675363547,0.16065372635032574,0.16065378055500046,3.049475634036907e-05,0.0001009948994621368,0.04041698321858931,-3.3740066883196835e-05,0.0006326992401597063,0.17958679426950322,11.785016351187235,0.17252851017763957,7.391539615719441,0.1537816509181189,4.277569894159443,0.17438757994048518,8.54873018022068,0.15309603814579872,4.704334207627727
1370,000905_001370_model.c3d,104.328,1.905,37.03644,0.24420390783748636,0.0888663906595135,0.1442707204216206,0.25717873930339646,0.3767768611850759,0.2658408642041758,0.2658409690458813,0.00010688995357339584,0.0004081752446337683,0.11395006598268938,-3.943776883125756e-05,0.000375993794120339,0.2595262789679992,2.375325274043188,0.27076264772609066,1.8514021674766834,0.2764195747085433,3.9793394954669705,0.2577734202516533,3.0346891839496926,0.2760993553924934,3.858884230995695
1371,000906_001371_model.c3d,99.3384,1.8034,35.265131999999994,0.25506852930870744,0.085438841965839,0.16031191437218248,0.25555272224722575,0.4177733360305593,0.29093474354039534,0.29093475844519745,2.520074690621053e-05,8.009455976448754e-05,0.020665932351200584,-5.123073969567433e-06,0.00019941648469539358,0.24666861416377722,15.215140288142281,0.23035864804524397,20.8211967941672,0.2549622266697352,12.364462364621447,0.23739349166782087,18.403182521629784,0.2564710465713958,11.845851255030448
1393,000919_001393_model.c3d,88.9056,1.6764,31.561488,0.20625169495567092,0.08738979151740979,0.1369264336790515,0.17214342705187313,0.2598202353136843,0.20819396610948446,0.20819398113792503,1.9136975954459556e-05,5.5131430767851874e-05,0.01364341139842717,-7.218480370090732e-06,0.0004835786169096865,0.2213566051634803,6.322296126043302,0.1784519856520794,14.285707224466067,0.21454113204510955,3.048679101625483,0.20420532364400443,1.9158300021925196,0.21929805120759374,5.333528778768689
1394,000920_001394_model.c3d,94.3488,1.905,33.493824,0.2502727928938579,0.07813506421011254,0.15287909610279588,0.225948598835747,0.37053247548718765,0.2468252524791298,0.2468252639654458,1.1125028080070247e-05,3.104049940835796e-05,0.0063859254007075155,-4.653622712456072e-06,0.0001586351094070499,0.23464653444391587,4.934145883733549,0.2447763886679584,0.8300867883623994,0.23545065014993433,4.608362481127102,0.23302109729675444,5.5926835053243,0.23446134509021918,5.009174411745423
1403,000927_001403_model.c3d,70.308,1.778,24.95934,0.24894975711967407,0.07577509654407023,0.13734916234665046,0.1647349247778135,0.24661982485507072,0.15354148365988693,0.15354148834995995,3.863016605386943e-05,0.0001150374417703548,0.04716452524845631,-3.0545966553135625e-06,0.0002190764230691563,0.17508144963661088,14.028759826521927,0.15893740242316615,3.514306775380544,0.14769626895180127,3.8069286350218703,0.16747358480638977,9.073835171063047,0.14775718669123586,3.767253533555786
