user,session_pitch,session_mass_kg,session_height_m,age_yrs,pitch_speed_mph,lead_knee_extension_angular_velo_max,lead_knee_velo_peak_reconstructed,lead_knee_velo_peak_time,trunk_flexion_velo_peak_fp_br,trunk_flexion_velo_peak_time,trunk_flexion_velo_peak_after_knee_peak,trunk_flexion_peak_after_knee_peak_time,knee_peak_precedes_trunk_peak,knee_to_trunk_peak_ms
1663,2979_4,101.6064,2.0066,20.83,83.3,282.1166,282.1166,1.3083,409.229,1.3639,409.229,1.3639,1.0,55.59999999999987
1663,2979_5,101.6064,2.0066,20.83,83.6,348.027,348.027,1.2667,416.8883,1.3917,416.8883,1.3917,1.0,125.0
1607,2981_1,85.7304,1.8542,19.08,82.5,457.0023,457.0023,1.8694,412.2876,1.8611,406.3028,1.8694,0.0,-8.299999999999974
1607,2981_2,85.7304,1.8542,19.08,82.5,449.2291,444.5693,1.4194,408.0715,1.4139,405.2465,1.4194,0.0,-5.50000000000006
1607,2981_3,85.7304,1.8542,19.08,82.5,467.594,461.8726,1.4833,400.554,1.475,394.1639,1.4833,0.0,-8.299999999999974
1607,2981_4,85.7304,1.8542,19.08,83.8,455.7542,455.7542,1.3444,398.1052,1.3389,395.4027,1.3444,0.0,-5.50000000000006
1540,2989_1,83.916,1.8034,20.61,80.5,342.0561,307.272,1.2833,506.6998,1.2722,495.5688,1.2833,0.0,-11.10000000000011
1540,2989_2,83.916,1.8034,20.61,80.9,279.796,268.2023,1.2611,527.0863,1.2528,515.6336,1.2611,0.0,-8.300000000000196
1540,2989_3,83.916,1.8034,20.61,80.8,256.1666,256.1666,1.225,509.8626,1.2167,502.3196,1.225,0.0,-8.300000000000196
1540,2989_4,83.916,1.8034,20.61,81.4,296.5685,295.3213,1.2861,525.6965,1.2722,493.8797,1.2861,0.0,-13.900000000000023
1540,2989_5,83.916,1.8034,20.61,81.2,265.1168,265.1168,1.1056,542.2009,1.1556,542.2009,1.1556,1.0,50.00000000000004
787,2990_2,83.0088,1.8542,21.62,81.8,206.6414,195.3939,1.2583,508.618,1.2528,504.3676,1.2583,0.0,-5.50000000000006
787,2990_3,83.0088,1.8542,21.62,81.6,213.3036,190.3037,1.1556,495.6339,1.15,491.6143,1.1556,0.0,-5.600000000000049
787,2990_4,83.0088,1.8542,21.62,81.4,153.3433,137.5494,1.0917,486.9192,1.1556,486.9192,1.1556,1.0,63.90000000000007
787,2990_5,83.0088,1.8542,21.62,81.4,190.4127,172.2716,1.125,494.0586,1.1194,491.1538,1.125,0.0,-5.600000000000049
1667,2993_1,97.0704,1.8542,22.62,91.3,225.9599,225.9599,1.5917,421.8433,1.575,389.7425,1.5917,0.0,-16.69999999999994
1667,2993_2,97.0704,1.8542,22.62,90.9,334.6427,334.6427,1.7222,449.0653,1.7,365.3319,1.7222,0.0,-22.199999999999996
1667,2993_3,97.0704,1.8542,22.62,91.6,287.6228,287.6228,1.6417,393.1649,1.6222,359.5795,1.6417,0.0,-19.49999999999985
1667,2993_4,97.0704,1.8542,22.62,90.6,276.9022,276.9022,1.6583,434.6755,1.625,350.9988,1.6583,0.0,-33.30000000000011
72,2996_1,103.8744,1.9304,23.62,88.9,620.6487,526.4038,1.3861,434.7893,1.3667,382.2777,1.3861,0.0,-19.400000000000084
72,2996_2,103.8744,1.9304,23.62,89.4,526.4505,486.3747,1.3611,388.7711,1.3361,335.8608,1.3611,0.0,-24.99999999999991
72,2996_3,103.8744,1.9304,23.62,88.7,509.4654,509.4654,1.3333,365.7091,1.3417,365.7091,1.3417,1.0,8.399999999999963
72,2996_4,103.8744,1.9304,23.62,86.3,539.5471,534.0324,1.325,445.5059,1.3028,390.2182,1.325,0.0,-22.199999999999996
1632,2999_1,96.1632,1.9304,18.13,84.1,319.2004,319.2004,1.4083,472.7725,1.3722,430.5421,1.4083,0.0,-36.10000000000002
1632,2999_2,96.1632,1.9304,18.13,84.3,257.9332,257.9332,1.5167,457.7084,1.5194,457.7084,1.5194,1.0,2.7000000000001467
1632,2999_3,96.1632,1.9304,18.13,84.4,405.8709,405.8709,1.3222,512.107,1.3333,512.107,1.3333,1.0,11.099999999999888
1632,2999_4,96.1632,1.9304,18.13,83.4,396.008,396.008,1.4139,484.887,1.3778,461.3546,1.4139,0.0,-36.10000000000002
1632,2999_5,96.1632,1.9304,18.13,83.8,338.6042,338.6042,1.3667,451.4422,1.3667,451.4422,1.3667,1.0,0.0
2,3034_1,93.8952,1.8542,20.05,80.9,284.1454,174.7091,1.5389,394.8625,1.5917,394.8625,1.5917,1.0,52.799999999999955
2,3034_2,93.8952,1.8542,20.05,81.4,303.0844,236.5222,1.5583,486.7554,1.5472,451.9726,1.5583,0.0,-11.10000000000011
2,3034_3,93.8952,1.8542,20.05,80.3,275.0772,221.9318,1.3056,442.2582,1.4444,442.2582,1.4444,1.0,138.7999999999998
2,3034_4,93.8952,1.8542,20.05,79.8,484.9406,484.9406,1.3083,445.835,1.4389,445.835,1.4389,1.0,130.60000000000005
2,3034_5,93.8952,1.8542,20.05,79.9,290.9532,175.6423,1.3583,441.539,1.4028,441.539,1.4028,1.0,44.499999999999986
1539,3035_1,92.5344,1.7526,19.18,86.9,496.1723,496.1723,1.3694,571.6143,1.4944,571.6143,1.4944,1.0,125.0
1539,3035_2,92.5344,1.7526,19.18,86.1,401.6463,401.6463,1.4222,564.9813,1.5472,564.9813,1.5472,1.0,125.0
1539,3035_3,92.5344,1.7526,19.18,85.2,523.5404,523.5404,1.2972,573.0837,1.4222,573.0837,1.4222,1.0,125.0
1539,3035_4,92.5344,1.7526,19.18,86.7,490.1675,490.1675,1.3917,596.0923,1.5083,596.0923,1.5083,1.0,116.60000000000004
1539,3035_5,92.5344,1.7526,19.18,85.3,553.1613,553.1613,1.4167,591.694,1.5306,591.694,1.5306,1.0,113.89999999999989
1685,3036_1,90.72,1.8542,20.62,86.1,573.752,573.752,1.3222,414.3296,1.325,414.3296,1.325,1.0,2.7999999999999137
1685,3036_2,90.72,1.8542,20.62,86.4,628.2907,628.2907,1.2917,403.4428,1.2917,403.4428,1.2917,1.0,0.0
1685,3036_3,90.72,1.8542,20.62,87.2,624.2348,624.2348,1.2889,411.4921,1.3,411.4921,1.3,1.0,11.10000000000011
1685,3036_4,90.72,1.8542,20.62,87.6,759.6417,735.0745,1.2444,402.4128,1.2417,402.3663,1.2444,0.0,-2.6999999999999247
964,3037_1,94.3488,1.8796,25.21,89.5,120.5385,118.601,1.7333,346.4369,1.725,338.3173,1.7333,0.0,-8.299999999999974
964,3037_2,94.3488,1.8796,25.21,88.7,123.8248,123.8248,2.4639,335.8165,2.5889,335.8165,2.5889,1.0,125.0
964,3037_3,94.3488,1.8796,25.21,88.9,114.3296,114.3296,1.45,361.1339,1.5139,361.1339,1.5139,1.0,63.90000000000007
964,3037_4,94.3488,1.8796,25.21,88.8,351.2116,351.2116,1.6861,375.9629,1.7944,375.9629,1.7944,1.0,108.30000000000007
964,3037_5,94.3488,1.8796,25.21,88.6,337.2712,337.2712,1.6917,356.1876,1.8111,356.1876,1.8111,1.0,119.39999999999995
1688,3043_1,107.0496,1.8288,21.4,87.9,187.1416,187.1416,1.3611,391.36,1.5,391.36,1.5,1.0,138.90000000000003
1688,3043_2,107.0496,1.8288,21.4,86.9,261.9526,261.9526,1.5333,395.9511,1.6722,395.9511,1.6722,1.0,138.8999999999998
1688,3043_3,107.0496,1.8288,21.4,87.0,189.317,189.317,1.4556,404.8542,1.5139,404.8542,1.5139,1.0,58.30000000000002
1688,3043_4,107.0496,1.8288,21.4,87.5,214.5506,214.5506,1.3639,384.6435,1.4944,384.6435,1.4944,1.0,130.50000000000006
1688,3043_5,107.0496,1.8288,21.4,86.9,347.844,347.844,1.3472,390.564,1.4722,390.564,1.4722,1.0,125.0
90,3044_1,114.7608,1.8796,27.59,87.1,417.8486,417.8486,1.6222,464.7016,1.6139,452.1618,1.6222,0.0,-8.300000000000196
90,3044_2,114.7608,1.8796,27.59,87.3,443.2257,435.1808,1.7,493.5314,1.6917,478.1954,1.7,0.0,-8.299999999999974
90,3044_3,114.7608,1.8796,27.59,87.8,285.9391,285.9391,1.6139,486.1652,1.6167,486.1652,1.6167,1.0,2.8000000000001357
90,3044_4,114.7608,1.8796,27.59,87.8,468.7956,468.7956,1.9611,480.4272,1.9556,475.2934,1.9611,0.0,-5.50000000000006
90,3044_5,114.7608,1.8796,27.59,87.8,496.1033,496.1033,2.0833,469.704,2.0806,466.577,2.0833,0.0,-2.6999999999999247
