analysis,exposure,mediator,mediator_column,n_athletes,n_pitches,path_a,path_b,indirect_effect,direct_effect,total_effect,proportion_mediated,path_a_ci_lower,path_a_ci_upper,path_b_ci_lower,path_b_ci_upper,indirect_effect_ci_lower,indirect_effect_ci_upper,direct_effect_ci_lower,direct_effect_ci_upper,total_effect_ci_lower,total_effect_ci_upper,proportion_mediated_ci_lower,proportion_mediated_ci_upper
pitch_level_clustered,lead_knee_extension_angular_velo_max,peak_forward_flexion_velocity_fp_br,trunk_flexion_velo_peak_fp_br,100,411.0,0.255524145504708,-0.03979362118053473,-0.010168231048694186,0.12261582571759078,0.11244759466889637,-0.09042639888060473,0.02606933428755823,0.44531349032325446,-0.24218093548015518,0.16783860334972037,-0.07158456658793187,0.04806460182320026,-0.0625863742216897,0.3012296195052232,-0.07531577318201954,0.296123354127398,-2.4190487271299745,1.949245635767772
athlete_means,lead_knee_extension_angular_velo_max,peak_forward_flexion_velocity_fp_br,trunk_flexion_velo_peak_fp_br,100,100.0,0.23381415849285445,-0.02638373418032902,-0.006168890605272791,0.13484929783583133,0.12868040723055885,-0.0479396260708119,0.0004303235536436875,0.43273589733897383,-0.23425593987304769,0.1691608531836234,-0.06766026892301155,0.043962554453256975,-0.05268350314756313,0.3142494956042145,-0.06387252210751207,0.3107678581864524,-1.739047929504689,1.394446875524505
within_athlete_centered,lead_knee_extension_angular_velo_max,peak_forward_flexion_velocity_fp_br,trunk_flexion_velo_peak_fp_br,100,411.0,0.17113640317039827,0.04612115746847942,0.007893008999211118,0.07073778486600585,0.078630793865217,0.10038063475157992,0.05666178303465827,0.2769325648030262,-0.06423628324315137,0.15375823151997142,-0.011726375945846194,0.030603641501610254,-0.0363260606564069,0.17501407426987214,-0.025555217054916996,0.18036437278637332,-0.8019581141065822,1.1838847809685116
pitch_level_clustered,lead_knee_extension_angular_velo_max,peak_forward_flexion_velocity_after_knee_peak,trunk_flexion_velo_peak_after_knee_peak,100,411.0,0.21498036419839234,-0.06747719595561143,-0.014506272161623632,0.12695386683051993,0.11244759466889637,-0.12900473508871016,-0.01588159474716898,0.40612360767331473,-0.265142796488872,0.13479585902564759,-0.07310335810469303,0.030645639461580068,-0.05173107720945405,0.3025382145980044,-0.07531577318201954,0.296123354127398,-2.4854302643726345,2.000339904243034
athlete_means,lead_knee_extension_angular_velo_max,peak_forward_flexion_velocity_after_knee_peak,trunk_flexion_velo_peak_after_knee_peak,100,100.0,0.19081546499211705,-0.06310669206001729,-0.01204173278954654,0.14072214002010533,0.12868040723055885,-0.0935786033686633,-0.04823407578681287,0.3900810098176857,-0.2638066361033125,0.13233546048783218,-0.0702288625442677,0.02521851966717473,-0.04318299717743549,0.3164778792348249,-0.06387252210751207,0.3107678581864524,-1.8361717125678907,1.3576079656801336
within_athlete_centered,lead_knee_extension_angular_velo_max,peak_forward_flexion_velocity_after_knee_peak,trunk_flexion_velo_peak_after_knee_peak,100,411.0,0.1445089005964097,0.01665522816048666,0.0024068287106542904,0.07622396515456271,0.078630793865217,0.0306092383447113,0.019456352471121603,0.25526257921158235,-0.08832295154374284,0.1216835359735982,-0.013586036403571124,0.021318605131125334,-0.028578983554226944,0.17859300565534203,-0.025555217054916996,0.18036437278637332,-0.5626049072716606,0.707467974980809
