task_id,display_order,session_pitch,pitcher_id,p_throws,filename_new,c3d_path,active_label_fields,active
pitch_23,23,3065_2,000675,R,000675_003065_72_182_005_FF_894.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000675\000675_003065_72_182_005_FF_894.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_24,24,3222_5,000572,R,000572_003222_67_193_006_FF_781.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000572\000572_003222_67_193_006_FF_781.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_25,25,2918_1,001637,R,001637_002918_74_221_003_FF_891.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001637\001637_002918_74_221_003_FF_891.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_26,26,3036_1,001685,L,001685_003036_73_200_001_FF_861.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001685\001685_003036_73_200_001_FF_861.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_27,27,1718_1,001000,L,001000_001718_75_215_004_FF_912.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001000\001000_001718_75_215_004_FF_912.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_28,28,3140_3,001737,R,001737_003140_69_185_004_FF_858.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001737\001737_003140_69_185_004_FF_858.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_29,29,2891_5,001633,R,001633_002891_74_251_013_FF_879.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001633\001633_002891_74_251_013_FF_879.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_30,30,1778_2,000610,R,000610_001778_71_195_010_FF_834.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000610\000610_001778_71_195_010_FF_834.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_31,31,3132_3,001002,L,001002_003132_72_216_003_FF_921.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001002\001002_003132_72_216_003_FF_921.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_32,32,2730_2,000976,R,000976_002730_74_198_002_FF_826.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000976\000976_002730_74_198_002_FF_826.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_33,33,2891_1,001633,R,001633_002891_74_251_009_FF_873.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001633\001633_002891_74_251_009_FF_873.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_34,34,1718_3,001000,L,001000_001718_75_215_007_FF_908.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001000\001000_001718_75_215_007_FF_908.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_35,35,2918_5,001637,R,001637_002918_74_221_007_FF_893.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001637\001637_002918_74_221_007_FF_893.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_36,36,2730_1,000976,R,000976_002730_74_198_001_FF_818.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000976\000976_002730_74_198_001_FF_818.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_37,37,1778_1,000610,R,000610_001778_71_195_002_FF_833.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000610\000610_001778_71_195_002_FF_833.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_38,38,3140_4,001737,R,001737_003140_69_185_005_FF_843.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001737\001737_003140_69_185_005_FF_843.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_39,39,2655_2,001005,L,001005_002655_71_208_003_FF_858.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001005\001005_002655_71_208_003_FF_858.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_40,40,2760_4,001557,R,001557_002760_73_182_005_FF_838.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001557\001557_002760_73_182_005_FF_838.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_41,41,2918_4,001637,R,001637_002918_74_221_006_FF_903.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001637\001637_002918_74_221_006_FF_903.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_42,42,3132_5,001002,L,001002_003132_72_216_009_FF_919.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001002\001002_003132_72_216_009_FF_919.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_43,43,2655_5,001005,L,001005_002655_71_208_007_FF_849.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001005\001005_002655_71_208_007_FF_849.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_44,44,2655_4,001005,L,001005_002655_71_208_006_FF_848.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001005\001005_002655_71_208_006_FF_848.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_45,45,2760_2,001557,R,001557_002760_73_182_003_FF_844.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001557\001557_002760_73_182_003_FF_844.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_46,46,1668_1,000986,R,000986_001668_73_180_001_FF_879.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000986\000986_001668_73_180_001_FF_879.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_47,47,3252_4,000870,R,000870_003252_74_195_012_FF_833.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000870\000870_003252_74_195_012_FF_833.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_48,48,3222_4,000572,R,000572_003222_67_193_005_FF_772.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000572\000572_003222_67_193_005_FF_772.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_49,49,2840_4,001562,L,001562_002840_76_187_012_FF_819.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001562\001562_002840_76_187_012_FF_819.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_50,50,1668_2,000986,R,000986_001668_73_180_002_FF_876.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000986\000986_001668_73_180_002_FF_876.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_51,51,3252_3,000870,R,000870_003252_74_195_005_FF_808.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000870\000870_003252_74_195_005_FF_808.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_52,52,3037_5,000964,R,000964_003037_74_208_009_FF_886.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000964\000964_003037_74_208_009_FF_886.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_53,53,1668_3,000986,R,000986_001668_73_180_004_FF_878.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000986\000986_001668_73_180_004_FF_878.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_54,54,1250_1,000738,L,000738_001250_69_173_002_FF_881.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000738\000738_001250_69_173_002_FF_881.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_55,55,2840_2,001562,L,001562_002840_76_187_010_FF_823.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001562\001562_002840_76_187_010_FF_823.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_56,56,3036_4,001685,L,001685_003036_73_200_004_FF_876.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\001685\001685_003036_73_200_004_FF_876.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_57,57,3034_5,000002,R,000002_003034_73_207_011_FF_799.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000002\000002_003034_73_207_011_FF_799.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
pitch_58,58,3034_3,000002,R,000002_003034_73_207_006_FF_803.c3d,D:\baseball\pitching\obp\baseball_pitching\data\c3d\000002\000002_003034_73_207_006_FF_803.c3d,hip_shoulder_separation;lower_body_dominance;direction;shoulder_horizontal_abduction;torso_velo_z;hip_extension;heel_connection;drift,true
