session_pitch,duration_s,stp_energy_j,mean_power_w,session,session_mass_kg
1031_2,0.08899999999999997,147.65062769499986,1658.9958167977518,1031,110.6784
1031_3,0.08890000000000009,152.5570374100001,1716.0521643419568,1031,110.6784
1097_1,0.022199999999999998,2.776994419999999,125.0898387387387,1097,101.1528
1097_2,0.016599999999999948,2.488446569999993,149.90641987951813,1097,101.1528
1097_3,0.025000000000000022,3.7278755100000036,149.11502040000002,1097,101.1528
1170_1,0.05279999999999996,54.9675809149999,1041.052668844696,1170,82.1016
1170_2,0.0472999999999999,52.01118023499985,1099.6021191331915,1170,82.1016
1250_1,0.044499999999999984,45.659247284999964,1026.0505007865163,1250,78.4728
1250_3,0.05830000000000002,47.244323805000015,810.3657599485421,1250,78.4728
1313_1,0.011099999999999999,1.4244049399999985,128.32476936936925,1313,84.3696
1313_2,0.005600000000000049,0.42793646000000374,76.41722499999999,1313,84.3696
1313_3,0.022199999999999998,3.6349186549999923,163.7350745495492,1313,84.3696
1346_1,0.03059999999999974,21.180497879999795,692.1731333333325,1346,72.1224
1346_2,0.03869999999999996,27.01270659999981,698.0027545219597,1346,72.1224
1346_3,0.04720000000000002,32.28870393999994,684.0827105932188,1346,72.1224
1370_1,0.044300000000000006,32.52740875500002,734.253019300226,1370,104.328
1370_2,0.05279999999999996,32.337062935,612.4443737689398,1370,104.328
1370_3,0.044399999999999995,29.475508135000045,663.8627958333344,1370,104.328
1371_2,0.0915999999999999,129.2294641199999,1410.8020100436686,1371,99.3384
1371_3,0.10560000000000003,156.07563711999995,1477.9889878787872,1371,99.3384
1393_1,0.02499999999999991,37.622291479999944,1504.8916592000032,1393,88.9056
1393_2,0.027699999999999947,35.43879104499995,1279.3787380866434,1393,88.9056
1393_3,0.022199999999999886,32.12870851499995,1447.2391222973024,1393,88.9056
1394_1,0.03060000000000007,22.920777600000076,749.0450196078439,1394,94.3488
1394_2,0.027800000000000047,16.538750775000032,594.9190926258995,1394,94.3488
1394_3,0.033299999999999996,18.62189754000002,559.216142342343,1394,94.3488
1403_1,0.038900000000000046,44.66911395000007,1148.3062712082267,1403,70.308
1403_2,0.038900000000000046,45.24682285500009,1163.1573998714662,1403,70.308
1403_3,0.038900000000000046,45.73970631000002,1175.8279257069398,1403,70.308
1561_1,0.06950000000000012,82.54840466500019,1187.746829712231,1561,118.3896
1561_2,0.08880000000000021,106.9765431850001,1204.6908016328812,1561,118.3896
1561_3,0.07769999999999988,93.7406036649998,1206.4427756113248,1561,118.3896
1562_1,0.038799999999999946,74.71382952999973,1925.6141631443256,1562,95.7096
1562_2,0.04730000000000012,81.64219400500002,1726.0506132135267,1562,95.7096
1562_3,0.044399999999999995,81.3902882350001,1833.1145998873899,1562,95.7096
1574_1,0.10549999999999993,84.77381980499989,803.5433156872033,1574,87.0912
1574_2,0.08900000000000019,76.18534793500018,856.0151453370788,1574,87.0912
1574_3,0.09439999999999982,84.25224861499981,892.5026336334744,1574,87.0912
1581_1,0.06390000000000007,79.41065710500007,1242.7332880281688,1581,94.8024
1581_2,0.06390000000000007,75.08096154500004,1174.9759240219087,1581,94.8024
1581_3,0.06669999999999976,78.79971694999975,1181.4050517241385,1581,94.8024
1601_1,0.03890000000000016,50.455773090000264,1297.0635755784078,1601,103.8744
1601_2,0.03610000000000002,47.83055133500002,1324.9460203601104,1601,103.8744
1601_3,0.04169999999999985,61.48904745999978,1474.5574930455637,1601,103.8744
1603_1,0.022299999999999986,14.661161570000145,657.4511914798276,1603,91.1736
1603_2,0.022199999999999998,15.716820180000154,707.96487297298,1603,91.1736
1603_3,0.01949999999999985,13.963964964999933,716.1007674358995,1603,91.1736
1612_1,0.05549999999999988,80.15396270999985,1444.2155443243246,1612,91.1736
1612_2,0.03049999999999997,25.00350126999987,819.7869268852423,1612,91.1736
1612_3,0.04170000000000007,51.672311285000056,1239.1441555155868,1612,91.1736
1615_1,0.0667000000000002,54.700923795000136,820.1038050224882,1615,87.5448
1615_2,0.033199999999999896,25.71532062499992,774.5578501506023,1615,87.5448
1620_1,0.050000000000000044,54.71579323500008,1094.3158647000005,1620,92.0808
1620_3,0.05549999999999988,57.93833356499992,1043.9339381081088,1620,92.0808
1623_1,0.07780000000000009,100.18810835500007,1287.7648888817475,1623,81.648
