window,outcome,model,n,r2,adjusted_r2,cv_r2_mean,cv_r2_sd
fp_br_thorax_limited,stp_energy_j,mass,100,0.16472019340416877,0.15619693007155833,-0.03194772841353683,0.4354376521195395
fp_br_thorax_limited,stp_energy_j,mass_duration,100,0.8067496521094273,0.8027651088539516,0.7288859197961202,0.1827698655814831
fp_br_thorax_limited,stp_energy_j,mass_power,100,0.4832251731317121,0.47257002206226295,0.2641736372762874,0.5852071575299991
fp_br_thorax_limited,stp_energy_j,mass_duration_power,100,0.9499827028057397,0.9484196622684191,0.9243500882988996,0.061582810229968137
