term,coefficient,standard_error,p,n_pitches,n_sessions
session_mass_kg,0.2097942879949497,0.08713088891882356,0.016048701095234753,411,100
duration_s_between,1093.6926177937244,35.894504068800146,6.581620716671828e-204,411,100
duration_s_within,1080.5712769519032,30.08097065413366,1.381090665321306e-282,411,100
mean_power_w_between,0.04565077053233324,0.0026402045928816532,5.5355082391699895e-67,411,100
mean_power_w_within,0.03929416821902543,0.0014436391735452795,3.888372340456973e-163,411,100
