session,session_mass_kg,pitch_n,duration_s,stp_energy_j,duration_sum_s,energy_sum_j,pooled_mean_power_w
1031,110.6784,2,0.08895000000000003,150.10383255249997,0.17790000000000006,300.20766510499993,1687.5079544969074
1097,101.1528,3,0.021266666666666656,2.9977721666666652,0.06379999999999997,8.993316499999995,140.9610736677116
1170,82.1016,2,0.05004999999999993,53.48938057499987,0.10009999999999986,106.97876114999974,1068.7188926073916
1250,78.4728,2,0.0514,46.45178554499999,0.1028,92.90357108999999,903.7312362840465
1313,84.3696,3,0.012966666666666682,1.8290866849999983,0.038900000000000046,5.487260054999995,141.06066979434416
1346,72.1224,3,0.03883333333333324,26.827302806666513,0.11649999999999971,80.48190841999954,690.8318319313282
1370,104.328,3,0.047166666666666655,31.446659941666685,0.14149999999999996,94.33997982500006,666.7136383392232
1371,99.3384,2,0.09859999999999997,142.65255061999994,0.19719999999999993,285.3051012399999,1446.7804322515212
1393,88.9056,3,0.02496666666666658,35.06326367999995,0.07489999999999974,105.18979103999985,1404.4030846461976
1394,94.3488,3,0.030566666666666704,19.36047530500004,0.09170000000000011,58.081425915000125,633.3852335332612
1403,70.308,3,0.038900000000000046,45.218547705000056,0.11670000000000014,135.65564311500017,1162.4305322622108
1561,118.3896,3,0.07866666666666673,94.42185050500002,0.2360000000000002,283.2655515150001,1200.277760656779
1562,95.7096,3,0.04350000000000002,79.24877058999995,0.13050000000000006,237.74631176999986,1821.8108181609177
1574,87.0912,3,0.09629999999999998,81.73713878499996,0.28889999999999993,245.21141635499987,848.7761036863964
1581,94.8024,3,0.0648333333333333,77.76377853333328,0.1944999999999999,233.29133559999985,1199.4413141388175
1601,103.8744,3,0.03890000000000001,53.25845729500002,0.11670000000000003,159.77537188500006,1369.112012724936
1603,91.1736,3,0.021333333333333277,14.780648905000078,0.06399999999999983,44.34194671500023,692.8429174218804
1612,91.1736,3,0.04256666666666664,52.27659175499992,0.12769999999999992,156.82977526499977,1228.1110044244313
1615,87.5448,2,0.04995000000000005,40.20812221000003,0.0999000000000001,80.41624442000006,804.9674116116114
1620,92.0808,2,0.052749999999999964,56.3270634,0.10549999999999993,112.6541268,1067.8116284360196
1623,81.648,3,0.08150000000000006,102.4531946183334,0.24450000000000016,307.3595838550002,1257.0944124948876
1665,106.596,3,0.02963333333333325,22.79762253999994,0.08889999999999976,68.39286761999982,769.3235952755906
1668,81.648,3,0.05836666666666668,51.7942817266667,0.17510000000000003,155.38284518000012,887.3948896630502
1688,106.596,2,0.07504999999999995,100.76528391000002,0.1500999999999999,201.53056782000004,1342.6420241172564
1717,103.4208,2,0.05279999999999996,38.33824419499992,0.10559999999999992,76.67648838999985,726.103109753787
1718,97.524,3,0.0195,13.684272971666664,0.058499999999999996,41.05281891499999,701.7575882905982
1729,105.6888,3,0.07316666666666653,117.86316847333302,0.21949999999999958,353.58950541999906,1610.8861294760807
1759,79.38,3,0.02403333333333335,41.2165635516667,0.07210000000000005,123.64969065500011,1714.9749050624137
1778,88.452,2,0.04305000000000003,63.172285932500074,0.08610000000000007,126.34457186500015,1467.4166302555175
1779,103.4208,3,0.06576666666666664,131.8914445916666,0.19729999999999992,395.67433377499987,2005.445178788647
1782,97.524,4,0.023575000000000013,39.49710586999997,0.09430000000000005,157.98842347999988,1675.3809488865302
1783,90.2664,4,0.04444999999999999,54.52537556999989,0.17779999999999996,218.10150227999955,1226.6676168728886
1808,98.4312,5,0.03113999999999999,29.060357271000004,0.15569999999999995,145.30178635500002,933.2163542389214
1826,91.1736,5,0.07719999999999998,68.82653045399996,0.3859999999999999,344.1326522699998,891.5353685751293
1830,84.3696,5,0.06725999999999996,64.57627597799998,0.3362999999999998,322.88137988999995,960.0992562890281
1845,92.5344,3,0.058333333333333424,79.68974900500002,0.17500000000000027,239.06924701500006,1366.1099829428554
2653,77.112,5,0.03608000000000007,39.147887550000064,0.18040000000000034,195.73943775000032,1085.030142738359
2655,94.3488,5,0.037779999999999966,19.599666101999986,0.18889999999999985,97.99833050999993,518.7841742191637
2730,89.8128,4,0.05694999999999989,69.7686506599999,0.22779999999999956,279.0746026399996,1225.0860519754178
2734,87.9984,5,0.054440000000000044,69.22582285800004,0.2722000000000002,346.1291142900002,1271.5985095150622
2742,99.792,5,0.0605799999999999,77.1964986509998,0.3028999999999995,385.982493254999,1274.2901725156805
2753,84.3696,5,0.1100000000000001,105.2886660970001,0.5500000000000005,526.4433304850005,957.1696917909092
2760,82.5552,5,0.04612000000000003,58.95785167200005,0.23060000000000014,294.78925836000025,1278.3575817866438
2761,88.9056,4,0.05625000000000002,53.51917754,0.2250000000000001,214.07671016,951.4520451555552
2806,82.1016,5,0.07333999999999996,63.91280081199996,0.3666999999999998,319.5640040599998,871.4589693482409
2811,85.2768,5,0.041119999999999955,25.11017133300001,0.20559999999999978,125.55085666500005,610.6559176313239
2812,76.2048,5,0.018859999999999922,16.562346857999938,0.0942999999999996,82.81173428999969,878.1732162248148
2815,97.0704,5,0.07717999999999998,122.08447318599997,0.3858999999999999,610.4223659299998,1581.8148896864473
2818,96.1632,5,0.08666000000000004,117.97994844800007,0.43330000000000024,589.8997422400004,1361.4118214631897
2833,83.916,5,0.05446000000000004,69.30459809200002,0.2723000000000002,346.52299046000013,1272.5780038927649
2840,84.8232,4,0.06115000000000004,68.10818889125005,0.24460000000000015,272.4327555650002,1113.788861672118
2843,83.4624,5,0.05829999999999995,54.574069165999916,0.29149999999999976,272.87034582999956,936.0903802058311
2853,89.3592,4,0.06805000000000011,71.77201886875005,0.27220000000000044,287.0880754750002,1054.695354426891
2857,69.4008,5,0.029420000000000047,20.618514035999958,0.14710000000000023,103.09257017999978,700.833243915701
2859,93.8952,5,0.05944000000000007,104.03040995299997,0.29720000000000035,520.1520497649999,1750.1751337987862
2860,78.9264,4,0.05904999999999999,64.94537371125006,0.23619999999999997,259.7814948450002,1099.8369807154966
2861,82.5552,5,0.05165999999999995,63.482755584999936,0.25829999999999975,317.4137779249997,1228.8570573945026
2865,87.5448,5,0.09890000000000003,128.94634585700004,0.49450000000000016,644.7317292850003,1303.805317057634
2882,88.9056,4,0.04930000000000001,72.09851180500003,0.19720000000000004,288.3940472200001,1462.44445851927
2889,111.132,5,0.12002000000000006,154.476305114,0.6001000000000003,772.38152557,1287.0880279453418
2891,113.8536,5,0.026619999999999998,48.26704714199999,0.1331,241.33523570999995,1813.1873456799397
2905,99.3384,5,0.08390000000000011,100.84786241200011,0.41950000000000054,504.23931206000054,1202.0007438855778
2907,82.5552,5,0.04663999999999997,38.77703120799999,0.23319999999999985,193.88515603999994,831.4114753001718
2916,86.6376,5,0.04892000000000003,64.32316291300012,0.24460000000000015,321.61581456500056,1314.8643277391675
2918,100.2456,5,0.047780000000000024,61.61945675400003,0.2389000000000001,308.09728377000016,1289.6495762662203
2919,84.8232,5,0.11719999999999997,139.01024504400002,0.5859999999999999,695.0512252200001,1186.0942409897616
2923,73.4832,5,0.018839999999999968,13.449782754000049,0.09419999999999984,67.24891377000024,713.8950506369465
2926,80.7408,4,0.09512500000000002,120.5156778412501,0.38050000000000006,482.0627113650004,1266.919083745073
2927,79.8336,5,0.0416799999999999,43.072974627999905,0.20839999999999947,215.36487313999953,1033.4206964491366
2935,90.72,5,0.05172000000000003,43.08238277400002,0.25860000000000016,215.4119138700001,832.9927063805103
2965,87.0912,5,0.055539999999999964,61.49792175500001,0.27769999999999984,307.489608775,1107.27262792582
2969,104.7816,3,0.08796666666666668,154.63615624333326,0.2639,463.90846872999975,1757.8949175066302
2979,101.6064,5,0.0599800000000001,92.27920104100006,0.2999000000000005,461.39600520500034,1538.4995171890616
2981,85.7304,4,0.05837500000000001,48.821769866250044,0.23350000000000004,195.28707946500018,836.3472353961462
2989,83.916,5,0.07666000000000003,90.63028802399997,0.3833000000000002,453.15144011999985,1182.2369948343323
2990,83.0088,4,0.08470000000000003,79.07926483250002,0.3388000000000001,316.31705933000006,933.639490348288
2993,97.0704,4,0.07777499999999998,100.07902640374994,0.31109999999999993,400.31610561499974,1286.7762957730629
2996,103.8744,4,0.06522500000000009,97.86927769000005,0.26090000000000035,391.4771107600002,1500.4872010732067
2999,96.1632,5,0.09498000000000006,87.6865324050001,0.4749000000000003,438.43266202500047,923.2104906822492
3034,93.8952,5,0.09222000000000001,72.60581020500004,0.46110000000000007,363.02905102500023,787.310889232271
3035,92.5344,5,0.06667999999999999,113.935856396,0.3333999999999999,569.67928198,1708.696106718657
3036,90.72,4,0.05624999999999997,68.93102435124997,0.22499999999999987,275.7240974049999,1225.4404329111114
3037,94.3488,5,0.11385999999999993,163.63473827699983,0.5692999999999997,818.1736913849991,1437.1573711312128
3043,107.0496,5,0.09838000000000005,126.43716681100004,0.4919000000000002,632.1858340550002,1285.1917748627768
3044,114.7608,5,0.061100000000000064,85.32994228200003,0.3055000000000003,426.6497114100002,1396.5620668085098
3046,78.9264,4,0.05277500000000018,55.68169080500015,0.21110000000000073,222.7267632200006,1055.0770403600181
3053,93.8952,5,0.06611999999999996,69.16900678799999,0.3305999999999998,345.84503393999995,1046.1132303085305
3055,93.4416,5,0.05333999999999994,62.91279551099998,0.2666999999999997,314.5639775549999,1179.4674823959513
3065,82.5552,5,0.034439999999999985,31.640632368999945,0.1721999999999999,158.20316184499973,918.7175484610907
3132,97.9776,5,0.08337999999999993,100.19908389599996,0.4168999999999996,500.9954194799998,1201.7160457663715
3140,83.916,5,0.05274000000000001,63.16990526299999,0.26370000000000005,315.84952631499993,1197.7608127227907
3172,73.4832,5,0.016079999999999962,9.859951091999974,0.0803999999999998,49.29975545999987,613.1810380597013
3222,87.5448,5,0.07554000000000002,53.91519954800005,0.37770000000000015,269.5759977400002,713.7304679375169
3228,93.8952,5,0.05553999999999992,73.08713409999989,0.2776999999999996,365.43567049999945,1315.936876125315
3232,85.2768,5,0.035559999999999994,34.935919801,0.17779999999999996,174.67959900499997,982.4499381608549
3233,80.7408,5,0.019459999999999988,13.577749105999994,0.09729999999999994,67.88874552999997,697.7260588900309
3247,87.9984,5,0.04887999999999999,56.2305861549999,0.24439999999999995,281.1529307749995,1150.380240486905
3248,81.1944,5,0.07724000000000006,108.13051352700003,0.3862000000000003,540.6525676350002,1399.9289685007761
3250,83.4624,4,0.037475000000000036,45.1673676800001,0.14990000000000014,180.6694707200004,1205.2666492328233
3252,88.452,5,0.03445999999999998,37.26621737499998,0.1722999999999999,186.33108687499993,1081.4340503482301
