session_pitch,pitcher,pkh_time,fp_poi_time,pkh_fp_duration,pelvis_angle_z_pkh,pelvis_angle_z_fp,zero_crossing_count,first_zero_crossing_from_fp,stable_zero_crossing_from_fp,stable_zero_crossing_phase_pct,pitch_speed_mph
2916_3,2916,0.4333,0.9694,0.5361,-22.617,33.6863,1,-0.08467164031620555,-0.08467164031620555,84.20599882182324,94.2
2916_4,2916,0.3333,0.85,0.5166999999999999,-21.9038,32.7175,1,-0.07385422885572135,-0.07385422885572135,85.70655528242281,94.4
2916_5,2916,0.4806,0.975,0.49439999999999995,-23.5639,30.1416,1,-0.06787579674615551,-0.06787579674615551,86.27107670992001,94.0
2918_1,2918,0.5583,1.0972,0.5388999999999999,-20.7633,29.5561,1,-0.0796528665413534,-0.0796528665413534,85.21936044881177,89.1
2918_2,2918,0.4556,0.9806,0.525,-23.3824,29.4665,1,-0.06583317312715498,-0.06583317312715498,87.46034797578001,90.4
2918_3,2918,0.4639,1.0139,0.55,-22.6449,26.7783,1,-0.0665195521572911,-0.0665195521572911,87.90553597140162,89.8
2918_4,2918,0.6,1.1528,0.5528000000000001,-23.2636,28.0208,1,-0.06299366306027832,-0.06299366306027832,88.60461956217831,90.3
2918_5,2918,0.4972,1.0528,0.5556,-24.2735,31.7537,1,-0.09457061216582707,-0.09457061216582707,82.9786515180297,89.3
2919_1,2919,0.8944,1.6167,0.7223,-45.2039,39.2217,1,-0.09929194019591003,-0.09929194019591003,86.25336561042364,82.5
2919_2,2919,0.8806,1.5667,0.6860999999999999,-41.7674,28.8391,1,-0.07692586181166994,-0.07692586181166994,88.78795192950444,82.6
2919_3,2919,1.225,1.9472,0.7222,-40.9253,33.6388,1,-0.09200292229355789,-0.09200292229355789,87.26074185910304,84.0
2919_4,2919,0.9361,1.6278,0.6916999999999999,-43.2961,30.5586,1,-0.08223081081081074,-0.08223081081081074,88.11178100176221,82.6
2919_5,2919,0.8028,1.5361,0.7333000000000001,-41.8523,30.4451,1,-0.08373454648312273,-0.08373454648312273,88.58113371292477,82.6
2923_1,2923,0.5528,1.1806,0.6278000000000001,-31.2481,24.7964,1,-0.17908258064516147,-0.17908258064516147,71.4745809740106,78.9
2923_2,2923,0.8194,1.4556,0.6362,-27.339,28.0279,1,-0.16146208791208783,-0.16146208791208783,74.62086012070294,76.4
2923_3,2923,0.6667,1.3278,0.6611000000000001,-30.8451,33.7676,1,-0.17811359060402698,-0.17811359060402698,73.05799567326774,76.9
2923_4,2923,0.7833,1.4778,0.6945,-34.2074,27.3052,1,-0.17244818181818178,-0.17244818181818178,75.16944826232084,76.3
2923_5,2923,0.6639,1.3139,0.65,-32.4655,28.9264,2,-0.17450349531116793,-0.07098248175182498,89.07961819202693,76.3
2926_1,2926,0.6472,1.1944,0.5471999999999999,-54.4655,19.5134,1,-0.030088273018781475,-0.030088273018781475,94.50141209452093,83.4
2926_2,2926,0.5917,1.1472,0.5555,-46.6596,22.9019,1,-0.03963856826865064,-0.03963856826865064,92.86434414605749,84.1
2926_4,2926,0.5028,1.0167,0.5138999999999999,-49.7383,16.6671,1,-0.029699369849733315,-0.029699369849733315,94.22078812030875,83.4
2926_5,2926,0.475,0.9917,0.5167,-55.1597,9.6516,1,-0.016354401820135256,-0.016354401820135256,96.83483610990221,82.9
2927_1,2927,0.6361,1.175,0.5389,-47.1181,17.379,1,-0.03181091265519487,-0.03181091265519487,94.09706575335038,86.8
2927_2,2927,0.4722,0.9694,0.49720000000000003,-50.5325,15.0656,1,-0.02718556825441898,-0.02718556825441898,94.53226704456577,87.8
2927_3,2927,0.6028,1.1306,0.5278,-50.3849,28.6764,1,-0.05093373921867084,-0.05093373921867084,90.34980310370011,87.1
2927_4,2927,0.7278,1.2611,0.5333000000000001,-48.1893,25.6713,1,-0.04537305684454784,-0.04537305684454784,91.49202009290309,86.8
2927_5,2927,0.4667,1.0111,0.5444000000000001,-54.2982,26.2297,1,-0.0469419391771021,-0.0469419391771021,91.37730727826927,86.9
