separation_definition,outcome,model,n,r2,adjusted_r2,cv_r2_mean,cv_r2_sd
rotation_hip_shoulder_separation_fp,duration_z,mass,100,0.011422279931970203,0.00133475217617407,-0.1468680080741588,0.35602617163234157
rotation_hip_shoulder_separation_fp,duration_z,additive,100,0.1477602094783148,0.12112771602451211,-0.1173246374431394,0.4124720030805736
rotation_hip_shoulder_separation_fp,duration_z,interaction,100,0.1554118900864746,0.11985028545853682,-0.11854919513499725,0.43328644945391254
rotation_hip_shoulder_separation_fp,power_z,mass,100,0.33314144627481224,0.3263367671551676,0.2028928792223705,0.3678806028129893
rotation_hip_shoulder_separation_fp,power_z,additive,100,0.3991867234436135,0.3804113085512264,0.2576665593169543,0.35469137249270377
rotation_hip_shoulder_separation_fp,power_z,interaction,100,0.425593584742894,0.4014080514689107,0.27726411353578984,0.3562821231940795
rotation_hip_shoulder_separation_fp,joint_high_score,mass,100,0.24312427974572492,0.2354010581104773,0.09252790559754243,0.4783277451162423
rotation_hip_shoulder_separation_fp,joint_high_score,additive,100,0.3058842943569431,0.28419317855559756,0.09650898934700308,0.47584513778852444
rotation_hip_shoulder_separation_fp,joint_high_score,interaction,100,0.3062724970663946,0.277062917995506,0.07905791836299066,0.48208363926801723
max_rotation_hip_shoulder_separation,duration_z,mass,100,0.011422279931970203,0.00133475217617407,-0.1468680080741588,0.35602617163234157
max_rotation_hip_shoulder_separation,duration_z,additive,100,0.05292109650702581,0.023324880772870316,-0.2078962214037247,0.3836882723687316
max_rotation_hip_shoulder_separation,duration_z,interaction,100,0.06318056414762951,0.02373553526963501,-0.21572901570310304,0.42566711027440435
max_rotation_hip_shoulder_separation,power_z,mass,100,0.33314144627481224,0.3263367671551676,0.2028928792223705,0.3678806028129893
max_rotation_hip_shoulder_separation,power_z,additive,100,0.39770077327274755,0.37887892243752086,0.25238998349783254,0.3575329208082041
max_rotation_hip_shoulder_separation,power_z,interaction,100,0.4205265246555866,0.39612764148319035,0.2631859055086139,0.37424728799344864
max_rotation_hip_shoulder_separation,joint_high_score,mass,100,0.24312427974572492,0.2354010581104773,0.09252790559754243,0.4783277451162423
max_rotation_hip_shoulder_separation,joint_high_score,additive,100,0.26609779089467833,0.24316334686013708,0.09619617042752683,0.4689629493153615
max_rotation_hip_shoulder_separation,joint_high_score,interaction,100,0.2680174124142023,0.2371970929369056,0.08583611631719146,0.4678365006243149
