session,session_mass_kg,pitch_n,fp_mer_duration_s,fp_mer_positive_mean_power_w,rotation_hip_shoulder_separation_fp,max_rotation_hip_shoulder_separation,max_torso_rotational_velo,duration_z,power_z,joint_high_score,mass_z,torso_velo_z,rotation_hip_shoulder_separation_fp_z,max_rotation_hip_shoulder_separation_z,above_both_means
1031,110.6784,2,0.11670000000000005,3915.360217854407,31.432299999999998,32.43495,963.8322000000001,0.5078582889961107,1.59153255877063,0.5078582889961107,1.973109766865515,-1.0483856953765702,0.25212516643290844,0.04150083786799341,True
1097,101.1528,3,0.14629999999999996,1993.1777668762825,29.248933333333337,30.0224,1101.9797999999998,2.260121229088122,-1.7244637933290632,-1.7244637933290632,1.0305414068979122,0.5767628096135766,-0.07545600571556324,-0.329707711791366,False
1170,82.1016,2,0.13335000000000002,2298.5713568087094,38.1428,38.210899999999995,966.3392,1.4935061927978688,-1.1976230505810264,-1.1976230505810264,-0.8545953130372936,-1.0188937078066798,1.2589342788292044,0.9302210809323757,False
1250,78.4728,2,0.1068999999999999,2944.9735505471476,28.57885,29.0539,1089.6413,-0.07228281954787709,-0.08250137452203804,-0.08250137452203804,-1.2136689739773328,0.43161446951341786,-0.17599188323063497,-0.47872658408213326,False
1313,84.3696,3,0.13056666666666666,2190.9910876582976,38.57816666666667,40.24033333333333,1202.8898666666666,1.3287382248950705,-1.3832119783537982,-1.3832119783537982,-0.630174274949769,1.7638543260915311,1.3242544676725994,1.2424811394998778,False
1346,72.1224,3,0.11389999999999989,2171.229001660988,41.92946666666666,41.97456666666667,1154.1802333333333,0.34210368655496437,-1.4173039580426212,-1.4173039580426212,-1.8420478806224023,1.190841202517288,1.8270663860652228,1.5093200611543862,False
1370,104.328,3,0.11663333333333326,3267.2786099445234,28.366966666666666,28.7904,1153.6634000000001,0.5039117508427426,0.47351369089546225,0.47351369089546225,1.344730860220447,1.1847612494888216,-0.20778177530498132,-0.5192701802087379,True
1371,99.3384,2,0.12079999999999999,3058.9729514753008,29.959400000000002,30.563200000000002,1043.09965,0.7505703854277715,0.1141613290766477,0.1141613290766477,0.851004576427892,-0.11589480981734585,0.031138780672011455,-0.24649717370685711,True
1393,88.9056,3,0.1194666666666665,1902.7986486455295,14.824599999999998,15.098933333333333,970.0637999999999,0.6716396223605542,-1.8803786630162043,-1.8803786630162043,-0.18133219877471973,-0.9750780488905194,-2.239609234274037,-2.625916460718074,False
1394,94.3488,3,0.11203333333333326,3130.8602054364633,27.92063333333333,27.977800000000002,1036.0894666666666,0.2316006182608755,0.2381755046177769,0.2316006182608755,0.3572782926353383,-0.19836159870020642,-0.27474734674767787,-0.6443013992314298,True
1403,70.308,3,0.1064666666666666,2092.508516140346,30.237133333333333,30.64663333333333,1002.1514999999999,-0.09793531754471768,-1.5531062814324406,-1.5531062814324406,-2.021584711092421,-0.5976029593227492,0.07280847008654014,-0.2336596504804325,False
1561,118.3896,3,0.12033333333333325,3553.2942704252914,33.06146666666667,33.5514,1064.0885666666666,0.7229446183542445,0.9669251702870223,0.7229446183542445,2.7361412963630993,0.13101578828349572,0.496557003943124,0.21328413158923942,True
1562,95.7096,3,0.0712666666666666,4318.1351685414975,32.2683,33.5469,1076.8007333333333,-2.1817074625190083,2.2863678833340657,-2.1817074625190083,0.4919309154878528,0.28055988932845766,0.37755433236142477,0.21259173620946814,False
1574,87.0912,3,0.1240666666666666,2426.5230112714894,27.428066666666666,27.660933333333332,1015.3172,0.943950754942428,-0.9768910283800144,-0.9768910283800144,-0.36086902924474,-0.4427235573487096,-0.3486495311546024,-0.6930562916766559,False
1581,94.8024,3,0.09073333333333329,3300.429889283128,22.096099999999996,28.012166666666662,1090.8969,-1.0293183217377704,0.5307036425040162,-1.0293183217377704,0.40216250025284406,0.44638516739644707,-1.148630550004659,-0.6390135500718446,False
1601,103.8744,3,0.12223333333333337,3059.6619592046413,33.70226666666667,35.1596,1034.2236666666665,0.8354209557250232,0.1153499504356135,0.1153499504356135,1.2998466526029413,-0.2203106016550944,0.5926993598366558,0.460730853755487,True
1603,91.1736,3,0.045399999999999996,3583.4717172963715,9.833733333333333,24.7589,1031.4215666666666,-3.7129642660228392,1.0189849025404631,-3.7129642660228392,0.043088839312803516,-0.25327410319860805,-2.9884133530066084,-1.1395795076637993,False
1612,91.1736,3,0.09633333333333331,3544.4065159379948,24.849100000000004,27.421466666666664,1082.4549666666667,-0.6978091168554955,0.9515927228165773,-0.6978091168554955,0.043088839312803516,0.34707547735555533,-0.7355845047879077,-0.7299019835898164,False
1615,87.5448,2,0.0861,3275.3593939201633,42.1769,48.209599999999995,1114.5955,-1.3036027233963157,0.4874540169928585,-1.3036027233963157,-0.3159848216272356,0.7251720906608358,1.8641900183892817,2.468677455092098,False
1620,92.0808,2,0.0999999999999999,3301.761956675001,22.17125,24.824849999999998,974.9763,-0.4807495184206786,0.5330016192699335,-0.4807495184206786,0.13285725454781366,-0.9172881051581322,-1.1373554282109646,-1.1294320687091521,False
1623,81.648,3,0.11203333333333333,2902.328883974187,21.64646666666667,21.838933333333333,1001.0259666666667,0.2316006182608796,-0.15606856306883113,-0.15606856306883113,-0.8994795206547994,-0.6108435716387293,-1.2160912365760195,-1.588862047460698,False
1665,106.596,3,0.10739999999999995,3968.508776122026,34.43686666666667,35.52996666666667,1029.0667333333333,-0.04268378339767079,1.6832202262160907,-0.04268378339767079,1.5691518983079717,-0.2809760239787563,0.7029149881752772,0.5177175579379933,False
1668,81.648,3,0.09536666666666667,2866.319335825095,31.748433333333335,37.19186666666667,1087.5192666666667,-0.75503392007922,-0.21818937279861808,-0.75503392007922,-0.8994795206547994,0.40665117446373256,0.29955619552645124,0.7734268649695121,False
