,rotation_hip_shoulder_separation_fp,max_rotation_hip_shoulder_separation,max_torso_rotational_velo,fp_mer_duration_s,fp_mer_positive_mean_power_w,joint_high_score,session_mass_kg
rotation_hip_shoulder_separation_fp,1.0,0.9223819744604054,0.2622232624240708,0.350089062238027,0.02937857759979891,0.23352137944589638,0.0011910119559820505
max_rotation_hip_shoulder_separation,0.9223819744604054,1.0,0.2975392166055198,0.1881013386249084,0.09669509190548417,0.05810094107545614,0.009771775255754098
max_torso_rotational_velo,0.2622232624240708,0.2975392166055198,1.0,-0.04177756019026405,0.12451631154618803,0.04254577991373061,-0.21367284343577791
fp_mer_duration_s,0.350089062238027,0.1881013386249084,-0.04177756019026405,1.0,-0.4807709880326535,0.2427307673107318,0.1068750669331732
fp_mer_positive_mean_power_w,0.02937857759979891,0.09669509190548417,0.12451631154618803,-0.4807709880326535,1.0,0.4404261350739275,0.5771840661996936
joint_high_score,0.23352137944589638,0.05810094107545614,0.04254577991373061,0.2427307673107318,0.4404261350739275,1.0,0.4930763427155323
session_mass_kg,0.0011910119559820505,0.009771775255754098,-0.21367284343577791,0.1068750669331732,0.5771840661996936,0.4930763427155323,1.0
