separation_definition,above_both_means,n,separation_mean,torso_velo_mean,mass_mean,duration_mean_s,power_mean_w
rotation_hip_shoulder_separation_fp,False,79,29.08455626582279,1051.4360192194092,87.75150379746837,0.10576580168776367,2897.112856651815
rotation_hip_shoulder_separation_fp,True,21,32.26217595238095,1058.6522149999998,101.9736,0.11698119047619045,3352.752080186016
max_rotation_hip_shoulder_separation,False,79,31.840025210970463,1051.4360192194092,87.75150379746837,0.10576580168776367,2897.112856651815
max_rotation_hip_shoulder_separation,True,21,33.38861333333333,1058.6522149999998,101.9736,0.11698119047619045,3352.752080186016
