exposure,exposure_column,mediator,mediator_column,n_athletes,path_a,path_b,indirect_effect,direct_effect,total_effect,proportion_mediated,total_model_r_squared,outcome_model_r_squared,n_pitches,path_a_ci_lower,path_a_ci_upper,path_b_ci_lower,path_b_ci_upper,indirect_effect_ci_lower,indirect_effect_ci_upper,direct_effect_ci_lower,direct_effect_ci_upper,total_effect_ci_lower,total_effect_ci_upper,proportion_mediated_ci_lower,proportion_mediated_ci_upper,total_model_r_squared_ci_lower,total_model_r_squared_ci_upper,outcome_model_r_squared_ci_lower,outcome_model_r_squared_ci_upper
separation_at_fp_poi,rotation_hip_shoulder_separation_fp,peak_torso_rotation_velocity_fp_br,max_torso_rotational_velo,29,0.15125388353316227,0.2706049808435154,0.04093005425599869,0.4754030579484798,0.5163331122044784,0.07927063612335122,0.37407883884910376,0.43901640604265435,114,-0.11162296806418076,0.5106466733730753,-0.07510384439161807,0.5710129571933366,-0.037063905967651994,0.18826618312056329,0.0873309940731887,0.6963417666142357,0.19177978843590646,0.7157399593091881,-0.08698773774468888,0.5897413805917121,0.1827650663089544,0.6859395153060701,0.2718994838576677,0.7478211793249404
separation_at_fp_poi,rotation_hip_shoulder_separation_fp,peak_separation_closing_speed_fp_br,separation_closing_speed_fp_br,29,0.5071051726241205,0.33378132517099085,0.169262236519543,0.34707087568493566,0.5163331122044784,0.3278159632197125,0.37407883884910376,0.4493390899233215,114,0.15150968002379225,0.7346440749908697,-0.19952619432991497,0.6479696668846993,-0.08472631216743969,0.36370634754521586,0.012765674578515117,0.6647399796314852,0.19177978843590646,0.7157399593091881,-0.19018219931966823,0.9422314025375192,0.1827650663089544,0.6859395153060701,0.24229747458356712,0.7492375709415277
maximum_separation,max_rotation_hip_shoulder_separation,peak_torso_rotation_velocity_fp_br,max_torso_rotational_velo,29,0.2242861885088108,0.21521234940726205,0.04826915756858123,0.569797371718978,0.6180665292875589,0.07809702561344126,0.4770250177412433,0.5169510990212924,114,-0.05137917852424696,0.6493455584353831,-0.11082973551284873,0.49295761465008636,-0.03787095087013829,0.20622944702678786,0.2575499957273782,0.7669871389092747,0.3692444356150795,0.7881387947789296,-0.06747801709836104,0.3951355960914325,0.2846123697646852,0.7432892760308045,0.3400868635316473,0.7915132981793102
maximum_separation,max_rotation_hip_shoulder_separation,peak_separation_closing_speed_fp_br,separation_closing_speed_fp_br,29,0.6414201631629101,0.1955390857740766,0.1254227123019345,0.4926438169856237,0.6180665292875589,0.20292752698727823,0.4770250177412433,0.4975642268119689,114,0.31908455248894074,0.863066217886506,-0.34423905193089754,0.5697926719342011,-0.18584730822183063,0.41579898294091583,0.12210339585923344,0.8122424042596099,0.3692444356150795,0.7881387947789296,-0.3536863949969713,0.7531440189446664,0.2846123697646852,0.7432892760308045,0.3166945398436417,0.7741262479298266
