exposure,exposure_column,mediator,mediator_column,n_pitches,n_athletes,path_a,path_b,indirect_effect,direct_effect,total_effect,proportion_mediated,total_model_r_squared,outcome_model_r_squared,path_a_ci_lower,path_a_ci_upper,path_b_ci_lower,path_b_ci_upper,indirect_effect_ci_lower,indirect_effect_ci_upper,direct_effect_ci_lower,direct_effect_ci_upper,total_effect_ci_lower,total_effect_ci_upper,proportion_mediated_ci_lower,proportion_mediated_ci_upper,total_model_r_squared_ci_lower,total_model_r_squared_ci_upper,outcome_model_r_squared_ci_lower,outcome_model_r_squared_ci_upper
separation_at_fp_poi,rotation_hip_shoulder_separation_fp,peak_torso_rotation_velocity_fp_br,max_torso_rotational_velo,114,29,0.2123527691679004,0.2641404732750854,0.056090960949284174,0.38763143750561835,0.44372239845490247,0.1264100283073381,0.3300980833941224,0.3902727526172345,-0.048713585507783014,0.5441272342078354,-0.10576341021084158,0.5824934742366221,-0.03616436972523238,0.19926913078660324,0.023751186875719192,0.666722635091613,0.1386452740895579,0.6971021965895469,-0.09465312625717738,0.8075777502777254,0.14477472668536012,0.6876688802660793,0.21672103068819276,0.7479539069978959
separation_at_fp_poi,rotation_hip_shoulder_separation_fp,peak_separation_closing_speed_fp_br,separation_closing_speed_fp_br,114,29,0.5241318633509244,0.3163550153024965,0.1658117436509077,0.27791065480399463,0.44372239845490247,0.3736835107451983,0.3300980833941224,0.39461840251786806,0.11689238864805226,0.8148640069616477,-0.33820588586456024,0.7236728931088307,-0.18400635630727924,0.42311063682356387,-0.08563921997750427,0.7362800581208405,0.1386452740895579,0.6971021965895469,-0.47100762053337786,1.3313459954905815,0.14477472668536012,0.6876688802660793,0.18686251999084133,0.7677457542989906
maximum_separation,max_rotation_hip_shoulder_separation,peak_torso_rotation_velocity_fp_br,max_torso_rotational_velo,114,29,0.2832134463858928,0.21153431658507033,0.05990936282894229,0.4770295516375791,0.5369389144665213,0.1115757513840575,0.41264623892259267,0.4498288196438073,0.018926141535867334,0.6565720840829193,-0.14284434624770803,0.5281078255372242,-0.05161881574736414,0.2177812463784857,0.14613012848408805,0.734660400393337,0.2563853233796086,0.7645011425397442,-0.10971650066689,0.5377647036217258,0.19977066637589988,0.7353679894396686,0.25705110391767994,0.7809503190208192
maximum_separation,max_rotation_hip_shoulder_separation,peak_separation_closing_speed_fp_br,separation_closing_speed_fp_br,114,29,0.6839343808792735,0.17552195420008673,0.12004549907655651,0.4168934153899654,0.5369389144665213,0.22357384768028668,0.41264623892259267,0.4271648896182977,0.3387655749410028,0.9054952549777442,-0.5089374290008707,0.6732719528762587,-0.3238608002959136,0.4935671845947566,-0.024164300966678477,0.852471959944796,0.2563853233796086,0.7645011425397442,-0.7964330378555623,1.0663697350651147,0.19977066637589988,0.7353679894396686,0.23665587428930332,0.7823400081733515
