exposure,exposure_column,mediator,mediator_column,n_athletes,path_a,path_b,indirect_effect,direct_effect,total_effect,proportion_mediated,total_model_r_squared,outcome_model_r_squared,n_pitches,path_a_ci_lower,path_a_ci_upper,path_b_ci_lower,path_b_ci_upper,indirect_effect_ci_lower,indirect_effect_ci_upper,direct_effect_ci_lower,direct_effect_ci_upper,total_effect_ci_lower,total_effect_ci_upper,proportion_mediated_ci_lower,proportion_mediated_ci_upper,total_model_r_squared_ci_lower,total_model_r_squared_ci_upper,outcome_model_r_squared_ci_lower,outcome_model_r_squared_ci_upper
separation_at_fp_poi,rotation_hip_shoulder_separation_fp,peak_torso_rotation_velocity_fp_br,max_torso_rotational_velo,29,0.15125388353316227,0.2706049808435154,0.04093005425599869,0.4754030579484798,0.5163331122044784,0.07927063612335122,0.37407883884910376,0.43901640604265435,114,0.022482870180170336,0.2945676680424575,0.11112047001141033,0.41383123586739196,0.004939500799530684,0.08707468802403624,0.3343362041733974,0.5975684651445969,0.3954054330473238,0.6265721524883607,0.009550180857144985,0.1893735872789301,0.2573465122243178,0.5315714175731119,0.3269147889663373,0.5965749012639829
separation_at_fp_poi,rotation_hip_shoulder_separation_fp,peak_separation_closing_speed_fp_br,separation_closing_speed_fp_br,29,0.5071051726241205,0.33378132517099085,0.169262236519543,0.34707087568493566,0.5163331122044784,0.3278159632197125,0.37407883884910376,0.4493390899233215,114,0.3643298352646982,0.625371067813429,0.11599229612876256,0.5083944684012833,0.057690970660877264,0.2690770154764311,0.19324332117121015,0.5069803749302023,0.3954054330473238,0.6265721524883607,0.10889979132521942,0.5562456651047266,0.2573465122243178,0.5315714175731119,0.3177086244892727,0.6088771613373112
maximum_separation,max_rotation_hip_shoulder_separation,peak_torso_rotation_velocity_fp_br,max_torso_rotational_velo,29,0.2242861885088108,0.21521234940726205,0.04826915756858123,0.569797371718978,0.6180665292875589,0.07809702561344126,0.4770250177412433,0.5169510990212924,114,0.09195891838372074,0.37669815326579614,0.06666263197309434,0.3459732684184493,0.011310665931564528,0.09732913195250034,0.4616755884906696,0.6657474898656651,0.526975010750302,0.6989383465036407,0.01775076930071041,0.16227397016633396,0.3640611438937545,0.6152071877661244,0.4023295781538798,0.6617144683993195
maximum_separation,max_rotation_hip_shoulder_separation,peak_separation_closing_speed_fp_br,separation_closing_speed_fp_br,29,0.6414201631629101,0.1955390857740766,0.1254227123019345,0.4926438169856237,0.6180665292875589,0.20292752698727823,0.4770250177412433,0.4975642268119689,114,0.5136612731480038,0.7458042487230134,-0.0271288914060972,0.38944347180025296,-0.016849048919401408,0.2617000679448333,0.33411998411133403,0.6471775172948134,0.526975010750302,0.6989383465036407,-0.02772940304306016,0.42588993712059325,0.3640611438937545,0.6152071877661244,0.3797058833116151,0.6456361959167225
