player_id,statsapi_name,height_raw,height_in,position
701121,Logan VanWey,"6' 2""",74.0,Pitcher
672841,Carlos Vargas,"6' 4""",76.0,Pitcher
545121,Ildemaro Vargas,"5' 11""",71.0,First Base
678246,Miguel Vargas,"6' 2""",74.0,Third Base
686973,Louis Varland,"6' 1""",73.0,Pitcher
662139,Daulton Varsho,"5' 8""",68.0,Outfielder
678024,Mike Vasil,"6' 5""",77.0,Pitcher
681190,Randy Vásquez,"6' 0""",72.0,Pitcher
683734,Andrew Vaughn,"5' 10""",70.0,First Base
679631,Terrin Vavra,"5' 11""",71.0,Second Base
543877,Christian Vázquez,"5' 8""",68.0,Catcher
676679,Luis Vázquez,"6' 0""",72.0,Shortstop
691728,Zac Veen,"6' 3""",75.0,Outfielder
685107,Anthony Veneziano,"6' 5""",77.0,Pitcher
657077,Alex Verdugo,"6' 0""",72.0,Outfielder
434378,Justin Verlander,"6' 5""",77.0,Pitcher
681911,Alex Vesia,"6' 1""",73.0,Pitcher
676684,Will Vest,"6' 0""",72.0,Pitcher
668901,Mark Vientos,"6' 3""",75.0,First Base
663837,Matt Vierling,"6' 1""",73.0,Outfielder
668723,Ryan Vilade,"6' 1""",73.0,Outfielder
681584,David Villar,"5' 11""",71.0,First Base
678391,Jorbit Vivas,"5' 9""",69.0,Third Base
680767,Victor Vodnik,"6' 0""",72.0,Pitcher
683011,Anthony Volpe,"5' 10""",70.0,Shortstop
608379,Michael Wacha,"6' 6""",78.0,Pitcher
663399,Brandon Waddell,"6' 3""",75.0,Pitcher
664774,LaMonte Wade Jr.,"5' 11""",71.0,Outfielder
642180,Tyler Wade,"6' 0""",72.0,Second Base
676572,Eric Wagaman,"6' 4""",76.0,First Base
695238,Will Wagner,"6' 0""",72.0,Designated Hitter
694462,Hurston Waldrep,"6' 2""",74.0,Pitcher
663362,Matt Waldron,"6' 2""",74.0,Pitcher
572233,Christian Walker,"5' 11""",71.0,First Base
691023,Jordan Walker,"6' 6""",78.0,Outfielder
677020,Josh Walker,"6' 6""",78.0,Pitcher
676254,Ryan Walker,"6' 2""",74.0,Pitcher
592836,Taijuan Walker,"6' 4""",76.0,Pitcher
595453,Chad Wallach,"6' 2""",74.0,Catcher
670242,Matt Wallner,"6' 4""",76.0,Outfielder
670764,Taylor Walls,"5' 9""",69.0,Shortstop
687888,Brandon Walter,"6' 2""",74.0,Pitcher
689958,Andrew Walters,"6' 4""",76.0,Pitcher
622268,Donovan Walton,"5' 9""",69.0,Second Base
621493,Taylor Ward,"6' 0""",72.0,Outfielder
681810,Austin Warren,"6' 0""",72.0,Pitcher
701542,Will Warren,"6' 2""",74.0,Pitcher
671221,Drew Waters,"6' 1""",73.0,Outfielder
677960,Ryan Weathers,"6' 1""",73.0,Pitcher
596133,Luke Weaver,"6' 2""",74.0,Pitcher
657097,Jacob Webb,"6' 2""",74.0,Pitcher
657277,Logan Webb,"6' 2""",74.0,Pitcher
607179,Jordan Weems,"6' 4""",76.0,Pitcher
669711,Greg Weissert,"6' 2""",74.0,Pitcher
669224,Austin Wells,"6' 1""",73.0,Catcher
669330,Tyler Wells,"6' 8""",80.0,Pitcher
666214,Joey Wentz,"6' 5""",77.0,Pitcher
669713,Hayden Wesneski,"6' 3""",75.0,Pitcher
676059,Jordan Westburg,"6' 1""",73.0,Third Base
554430,Zack Wheeler,"6' 4""",76.0,Pitcher
687931,Carson Whisenhunt,"6' 3""",75.0,Pitcher
694376,Shay Whitcomb,"6' 0""",72.0,Third Base
642201,Eli White,"6' 2""",74.0,Outfielder
669391,Owen White,"6' 3""",75.0,Pitcher
666215,Forrest Whitley,"6' 7""",79.0,Pitcher
676477,Garrett Whitlock,"6' 5""",77.0,Pitcher
696136,Jordan Wicks,"6' 3""",75.0,Pitcher
686894,Joey Wiemer,"6' 4""",76.0,Outfielder
677961,Cole Wilcox,"6' 5""",77.0,Pitcher
686249,Nathan Wiles,"6' 4""",76.0,Pitcher
700246,Carson Williams,"6' 1""",73.0,Shortstop
642207,Devin Williams,"6' 2""",74.0,Pitcher
668909,Gavin Williams,"6' 6""",78.0,Pitcher
663897,Luke Williams,"6' 1""",73.0,Shortstop
592866,Trevor Williams,"6' 3""",75.0,Pitcher
810938,Ben Williamson,"6' 0""",72.0,Second Base
669060,Bryse Wilson,"6' 2""",74.0,Pitcher
805779,Jacob Wilson,"6' 2""",74.0,Shortstop
458677,Justin Wilson,"6' 2""",74.0,Pitcher
621051,Steven Wilson,"6' 4""",76.0,Pitcher
642215,Weston Wilson,"6' 3""",75.0,Third Base
669717,Will Wilson,"5' 9""",69.0,Third Base
642216,Allan Winans,"6' 2""",74.0,Pitcher
670174,Josh Winckowski,"6' 4""",76.0,Pitcher
608385,Jesse Winker,"6' 2""",74.0,Outfielder
676466,Jack Winkler,"6' 1""",73.0,Second Base
668390,Cole Winn,"6' 2""",74.0,Pitcher
676775,Keaton Winn,"6' 4""",76.0,Pitcher
691026,Masyn Winn,"5' 9""",69.0,Shortstop
689172,Brett Wisely,"5' 9""",69.0,Second Base
677951,Bobby Witt Jr.,"6' 1""",73.0,Shortstop
664991,Grant Wolfram,"6' 7""",79.0,Pitcher
657136,Connor Wong,"5' 10""",70.0,Catcher
693433,Bryan Woo,"6' 2""",74.0,Pitcher
695578,James Wood,"6' 6""",78.0,Outfielder
663765,Jake Woodford,"6' 4""",76.0,Pitcher
605540,Brandon Woodruff,"6' 4""",76.0,Pitcher
680573,Simeon Woods Richardson,"6' 3""",75.0,Pitcher
669398,Gage Workman,"6' 4""",76.0,Third Base
680736,Justin Wrobleski,"6' 1""",73.0,Pitcher
691094,Randy Wynne,"6' 1""",73.0,Pitcher
642851,Austin Wynns,"6' 1""",73.0,Catcher
808967,Yoshinobu Yamamoto,"5' 10""",70.0,Pitcher
642232,Ryan Yarbrough,"6' 5""",77.0,Pitcher
573262,Mike Yastrzemski,"5' 10""",70.0,Outfielder
489446,Kirby Yates,"5' 10""",70.0,Pitcher
592885,Christian Yelich,"6' 4""",76.0,Designated Hitter
702056,Trey Yesavage,"6' 4""",76.0,Pitcher
684974,Craig Yoho,"6' 2""",74.0,Pitcher
694377,Nick Yorke,"5' 11""",71.0,Third Base
807799,Masataka Yoshida,"5' 8""",68.0,Designated Hitter
687064,Brandon Young,"6' 6""",78.0,Pitcher
702284,Cole Young,"5' 10""",70.0,Second Base
664849,Danny Young,"6' 3""",75.0,Pitcher
696285,Jacob Young,"5' 11""",71.0,Outfielder
676724,Jared Young,"6' 2""",74.0,First Base
642239,Rob Zastryzny,"6' 3""",75.0,Pitcher
666171,Ryan Zeferjahn,"6' 5""",77.0,Pitcher
672582,Angel Zerpa,"6' 0""",72.0,Pitcher
669145,Bruce Zimmermann,"6' 3""",75.0,Pitcher
676604,Tyler Zuber,"5' 11""",71.0,Pitcher
691172,Yosver Zulueta,"6' 1""",73.0,Pitcher
