player_id,player_name,statsapi_name,position,height_raw,height_in,ff_pitch_count,fastball_velocity_mph,extension_ft
808963,"Sasaki, Roki",Roki Sasaki,Pitcher,"6' 2""",74.0,310,96.1,7.07
685126,"Eisert, Brandon",Brandon Eisert,Pitcher,"6' 2""",74.0,385,89.7,7.07
701581,"Festa, David",David Festa,Pitcher,"6' 6""",78.0,278,94.1,7.04
666214,"Wentz, Joey",Joey Wentz,Pitcher,"6' 5""",77.0,800,93.4,7.04
641154,"López, Pablo",Pablo López,Pitcher,"6' 4""",76.0,518,94.5,7.04
693312,"Nicolas, Kyle",Kyle Nicolas,Pitcher,"6' 3""",75.0,330,97.6,7.03
641401,"Brogdon, Connor",Connor Brogdon,Pitcher,"6' 6""",78.0,352,95.5,7.01
663978,"Paddack, Chris",Chris Paddack,Pitcher,"6' 5""",77.0,1109,93.7,7.01
664351,"Contreras, Luis",Luis Contreras,Pitcher,"6' 1""",73.0,113,91.1,7.01
686973,"Varland, Louis",Louis Varland,Pitcher,"6' 1""",73.0,483,98.1,6.98
521230,"Hendriks, Liam",Liam Hendriks,Pitcher,"6' 0""",72.0,128,94.9,6.97
518585,"Cruz, Fernando",Fernando Cruz,Pitcher,"6' 2""",74.0,153,93.9,6.97
673929,"Leasure, Jordan",Jordan Leasure,Pitcher,"6' 3""",75.0,605,96.2,6.96
676661,"Lazar, Max",Max Lazar,Pitcher,"6' 1""",73.0,357,94.5,6.96
678020,"Halvorsen, Seth",Seth Halvorsen,Pitcher,"6' 2""",74.0,346,100.0,6.96
666120,"Anderson, Ian",Ian Anderson,Pitcher,"6' 3""",75.0,104,93.7,6.95
675911,"Strider, Spencer",Spencer Strider,Pitcher,"6' 0""",72.0,1081,95.5,6.95
640455,"Manaea, Sean",Sean Manaea,Pitcher,"6' 5""",77.0,663,91.7,6.95
663903,"Singer, Brady",Brady Singer,Pitcher,"6' 5""",77.0,304,91.3,6.95
679358,"Orze, Eric",Eric Orze,Pitcher,"6' 4""",76.0,174,93.9,6.94
683004,"Leiter, Jack",Jack Leiter,Pitcher,"6' 1""",73.0,1001,97.3,6.93
668909,"Williams, Gavin",Gavin Williams,Pitcher,"6' 6""",78.0,1094,96.6,6.93
642520,"Garabito, Gerson",Gerson Garabito,Pitcher,"6' 0""",72.0,25,93.2,6.93
813349,"Early, Connelly",Connelly Early,Pitcher,"6' 3""",75.0,94,94.0,6.92
687396,"Headrick, Brent",Brent Headrick,Pitcher,"6' 6""",78.0,234,94.0,6.92
663554,"Mize, Casey",Casey Mize,Pitcher,"6' 3""",75.0,790,94.6,6.92
666168,"Thompson, Mason",Mason Thompson,Pitcher,"6' 6""",78.0,44,94.8,6.92
605400,"Nola, Aaron",Aaron Nola,Pitcher,"6' 2""",74.0,475,91.9,6.91
677161,"Kelly, Zack",Zack Kelly,Pitcher,"6' 3""",75.0,115,96.1,6.91
691441,"Mena, Cristian",Cristian Mena,Pitcher,"6' 2""",74.0,29,95.3,6.91
671109,"Eder, Jake",Jake Eder,Pitcher,"6' 4""",76.0,135,93.1,6.91
672578,"Hernández, Carlos",Carlos Hernández,Pitcher,"6' 4""",76.0,394,97.7,6.91
669194,"Nelson, Ryne",Ryne Nelson,Pitcher,"6' 3""",75.0,1526,95.7,6.9
594902,"Lively, Ben",Ben Lively,Pitcher,"6' 4""",76.0,238,89.8,6.9
679883,"Avila, Luinder",Luinder Avila,Pitcher,"6' 3""",75.0,63,95.8,6.9
669084,"Hall, DL",DL Hall,Pitcher,"6' 1""",73.0,175,94.2,6.9
699911,"Darnell, Dugan",Dugan Darnell,Pitcher,"6' 2""",74.0,98,93.7,6.9
683769,"Gaddis, Hunter",Hunter Gaddis,Pitcher,"6' 6""",78.0,347,94.7,6.9
688297,"Roycroft, Chris",Chris Roycroft,Pitcher,"6' 8""",80.0,112,95.7,6.89
669854,"Blanco, Ronel",Ronel Blanco,Pitcher,"6' 3""",75.0,283,93.2,6.89
680885,"Schwellenbach, Spencer",Spencer Schwellenbach,Pitcher,"6' 1""",73.0,555,97.1,6.89
672782,"Gómez, Yoendrys",Yoendrys Gómez,Pitcher,"6' 3""",75.0,368,93.8,6.89
669713,"Wesneski, Hayden",Hayden Wesneski,Pitcher,"6' 3""",75.0,186,93.9,6.88
621237,"Alvarado, José",José Alvarado,Pitcher,"6' 2""",74.0,9,99.4,6.88
680730,"Parker, Mitchell",Mitchell Parker,Pitcher,"6' 4""",76.0,1501,93.0,6.88
681895,"Sisk, Evan",Evan Sisk,Pitcher,"6' 2""",74.0,66,90.6,6.88
663474,"McKenzie, Triston",Triston McKenzie,Pitcher,"6' 5""",77.0,99,93.7,6.88
668390,"Winn, Cole",Cole Winn,Pitcher,"6' 2""",74.0,171,96.2,6.88
502043,"Gibson, Kyle",Kyle Gibson,Pitcher,"6' 6""",78.0,26,91.5,6.87
518489,"Brasier, Ryan",Ryan Brasier,Pitcher,"6' 0""",72.0,143,94.0,6.87
601713,"Pivetta, Nick",Nick Pivetta,Pitcher,"6' 5""",77.0,1350,93.8,6.87
669022,"Gore, MacKenzie",MacKenzie Gore,Pitcher,"6' 2""",74.0,1388,95.3,6.87
