model,term,n,coefficient_mph,ci95_low_mph,ci95_high_mph,p_value,r_squared,adjusted_r_squared,extension_iqr_ft,predicted_q3_minus_q1_mph,height_groups,height_groups_with_two_or_more_pitchers
exact_height_fixed_effect,extension_ft,678,-0.15959850325572678,-0.6883881329107913,0.3691911263993377,0.5541496675777352,0.03928078955172465,0.016025861613491066,0.5550000000000006,-0.08857716930692845,16.0,12.0
linear_height_adjustment,extension_ft,678,-0.17734110488828048,-0.6882744639383028,0.3335922541617419,0.49632169304370133,0.01480830487254392,0.011889218368462462,,,,
