session,session_mass_kg,pitch_n,fp_br_duration_s,stp_j,jfp_j,reconstructed_total_j,official_total_j,duration_sum_s,stp_sum_j,jfp_sum_j,reconstructed_total_sum_j,stp_mean_power_w,jfp_mean_power_w,total_mean_power_w
1031,110.6784,2,0.15000000000000002,232.67183067750005,183.20260814250008,415.87443882000014,470.0404,0.30000000000000004,465.3436613550001,366.40521628500017,831.7488776400003,1551.1455378500002,1221.3507209500003,2772.4962588000003
1097,101.1528,3,0.17593333333333327,127.04471116166667,162.15118749666672,289.19589865833336,305.49836666666664,0.5277999999999998,381.134133485,486.45356249000014,867.5876959750001,722.118479509284,921.6626799734754,1643.7811594827592
1170,82.1016,2,0.1639,149.92702453750002,128.70038302000006,278.6274075575001,307.83105,0.3278,299.85404907500003,257.4007660400001,557.2548151150002,914.7469465375231,785.2372362416112,1699.9841827791342
1250,78.4728,2,0.1375,149.4289141675,167.64650872250002,317.07542289,335.5503,0.275,298.857828335,335.29301744500003,634.15084578,1086.7557394,1219.2473361636364,2306.0030755636362
1313,84.3696,3,0.16110000000000002,102.2614044816667,177.91437191166668,280.17577639333336,295.0391,0.48330000000000006,306.7842134450001,533.7431157350001,840.5273291800002,634.7697360749019,1104.372265125181,1739.1420012000829
1346,72.1224,3,0.14536666666666662,116.53907473999999,126.68017824166668,243.2192529816667,256.5192333333333,0.4360999999999998,349.61722421999997,380.04053472500004,729.6577589450001,801.6904935106629,871.4527281013534,1673.1432216120165
1370,104.328,3,0.14346666666666663,144.70772481499998,238.25175114500004,382.95947596,389.88373333333334,0.4303999999999999,434.12317444499996,714.7552534350001,1148.8784278800001,1008.650498245818,1660.6767040776028,2669.327202323421
1371,99.3384,2,0.1583,183.25657689999997,176.49979202499998,359.75636892499995,395.01665,0.3166,366.51315379999994,352.99958404999995,719.5127378499999,1157.6536759317748,1114.970259159823,2272.623935091598
1393,88.9056,3,0.15276666666666663,109.55072290666668,131.08243502666667,240.63315793333334,242.29523333333336,0.45829999999999993,328.65216872,393.24730508000005,721.8994738,717.111430765874,858.0565242854028,1575.1679550512767
1394,94.3488,3,0.14260000000000003,169.96789195,184.3877018933333,354.3555938433333,365.7066,0.42780000000000007,509.90367585,553.1631056799998,1063.0667815299998,1191.9207009116408,1293.0413877512851,2484.962088662926
1403,70.308,3,0.14536666666666662,114.81130607,110.97007863833335,225.78138470833335,245.6043,0.4360999999999998,344.43391821,332.91023591500004,677.344154125,789.804903026829,763.3804996904383,1553.1854027172674
1561,118.3896,3,0.15090000000000003,207.218738785,200.3536755849999,407.57241436999993,438.5191333333333,0.4527000000000001,621.656216355,601.0610267549997,1222.7172431099998,1373.2189448972827,1327.7248216368446,2700.9437665341275
1562,95.7096,3,0.10836666666666665,155.77237520833327,177.75972583999996,333.53210104833323,341.4039666666667,0.32509999999999994,467.31712562499985,533.2791775199998,1000.5963031449996,1437.4565537526912,1640.3542833589663,3077.8108371116573
1574,87.0912,3,0.15739999999999998,134.4177139566667,173.83896583499998,308.25667979166667,310.56690000000003,0.47219999999999995,403.25314187000004,521.516897505,924.770039375,853.9880175137655,1104.4406978081322,1958.4287153218977
1581,94.8024,3,0.12316666666666665,155.44160495833333,162.05081027666665,317.492415235,325.45193333333333,0.36949999999999994,466.32481487499996,486.15243082999996,952.477245705,1262.042800744249,1315.7034663870095,2577.7462671312587
