term,coefficient,standard_error,p,n_pitches,n_sessions
session_mass_kg,1.0159047179793073,0.20159207111152788,4.6697376872176034e-07,411,100
fp_br_duration_s_between,1967.1186093296667,111.43778087813698,9.792105853306802e-70,411,100
fp_br_duration_s_within,1933.598239125692,68.65232970949492,1.566523096809326e-174,411,100
total_mean_power_w_between,0.1256908393720444,0.004769332600613376,4.6221324555078583e-153,411,100
total_mean_power_w_within,0.10722094226929418,0.0045420727365087996,3.330903767946911e-123,411,100
