session_pitch,eligible_final_A_to_T,run_pattern,switch_count,final_t_start_time,final_t_phase_fp_br,final_t_minus_mer_ms,final_t_before_mer,stp_positive_fp_br_j,stp_active_duration_s,stp_active_mean_power_w,stp_positive_fp_mer_j,stp_before_final_t_j,stp_after_final_t_j,stp_after_final_t_share,session,session_mass_kg
1031_2,True,A->T->A->T,3,1.2694,0.545157068062828,-36.20000000000001,True,232.06039496000002,0.1403000000000001,1654.0298999287234,214.88605635500022,120.95375731000026,111.10663764999978,0.4787832825551775,1031,110.6784
1031_3,True,A->T->A->T,3,0.7583,0.5468750000000001,-33.399999999999984,True,233.28326639500006,0.13470000000000004,1731.8728017446176,211.63692791999998,119.82564144999995,113.45762494500008,0.4863513217141399,1031,110.6784
1097_1,True,T->A->T,2,0.9889,0.9218222722159735,16.70000000000005,False,133.914091365,0.16530000000000006,810.1275944646095,117.79515301499993,133.64873340499997,0.26535796000000234,0.0019815536759065578,1097,101.1528
1097_2,False,T->A,1,,,,,120.057267685,0.1540999999999999,779.0867468202471,111.47605834999993,,,,1097,101.1528
1097_3,False,T->A,1,,,,,127.162774435,0.1653,769.2847818209317,120.9616735449999,,,,1097,101.1528
1170_1,True,A->T->A->T->A->T,5,1.1389,0.8332333533293339,2.7999999999999137,False,147.06567500500003,0.14859999999999995,989.6747981493949,142.16528979000012,144.14186453000005,2.923810474999986,0.019880984974233996,1170,82.1016
1170_2,True,A->T->A->T,3,1.0194,0.8274363749224094,2.7000000000001467,False,152.78837407000003,0.1431,1067.703522501747,146.38641513999997,148.75715527000008,4.03121879999993,0.026384329465755203,1170,82.1016
1250_1,True,A->T->A->T,3,0.7528,0.820014398848092,5.600000000000049,False,144.39590051,0.11804999999999999,1223.1757772977553,137.49172962499992,142.885104185,1.510796325000003,0.010462875467128475,1250,78.4728
1250_3,True,T->A->T->A->T,4,0.7778,0.8368846436443792,8.400000000000073,False,154.461927825,0.1361,1134.9149729977958,140.51119680499994,147.37916196500004,7.082765859999973,0.045854444261659744,1250,78.4728
1313_1,False,T->A,1,,,,,101.44416262500002,0.14024999999999999,723.3095374331552,99.89882341,,,,1313,84.3696
1313_2,False,T->A,1,,,,,105.93765243500002,0.13750000000000007,770.455654072727,103.99897994500003,,,,1313,84.3696
1313_3,False,T->A,1,,,,,110.82750221500001,0.13470000000000004,822.7728449517444,109.41103575000004,,,,1313,84.3696
1346_1,True,T->A->T->A->T,4,1.0861,0.8076124567474059,5.50000000000006,False,116.54226105499998,0.12919999999999998,902.0298843266254,106.75362713999999,111.60531714000004,4.9369439149999375,0.04236183398458382,1346,72.1224
1346_2,True,T->A->T->A->T,4,1.1278,0.8462603878116343,8.399999999999963,False,117.84113829999998,0.13190000000000002,893.4127240333584,109.10237245499992,115.4039030749999,2.437235225000058,0.02068238019557605,1346,72.1224
1346_3,True,T->A->T->A->T,4,1.0972,0.8301630434782601,5.50000000000006,False,115.233824865,0.13470000000000004,855.4849655902002,107.63169584999993,111.56411831999998,3.6697065450000346,0.03184574103393001,1346,72.1224
1370_1,True,T->A->T,2,0.9417,0.8004322766570602,0.0,True,142.34884984,0.13880000000000003,1025.568082420749,115.85746763999998,115.85746763999998,26.491382200000043,0.18610183524332183,1370,104.328
1370_2,True,T->A->T,2,0.9194,0.8392282958199355,0.0,True,148.14194396,0.15549999999999997,952.6813116398715,123.94260324499997,123.94260324499997,24.199340715000016,0.16335239074177474,1370,104.328
1370_3,True,T->A->T,2,1.3167,0.8163115356355626,2.7999999999999137,False,143.63238064499996,0.1360999999999999,1055.3444573475392,117.27540679500011,122.22384049499998,21.408540149999993,0.1490509316482965,1370,104.328
1371_2,True,A->T->A->T,3,0.6833,0.5890675241157558,-25.00000000000002,True,180.353883025,0.14299999999999996,1261.2159652097905,157.87824643500005,103.41282701000004,76.94105601499994,0.42661158564761625,1371,99.3384
1371_3,True,A->T,1,0.6361,0.2756052141527001,-80.60000000000001,True,186.15927077499998,0.15134999999999998,1229.9918782623058,165.46383322500003,30.082545015,156.07672576,0.8384042605572997,1371,99.3384
1393_1,False,T->A->T->A,3,,,,,112.376126105,0.13199999999999995,851.3342886742428,104.83162630499994,,,,1393,88.9056
1393_2,False,T->A->T->A,3,,,,,111.00855460000002,0.14580000000000004,761.3755459533608,101.86600808999995,,,,1393,88.9056
1393_3,True,A->T->A->T,3,1.0222,0.9055706521739129,19.400000000000084,False,105.267488015,0.13749999999999996,765.581731018182,95.42180444999988,105.130601055,0.1368869599999961,0.0013003726276862473,1393,88.9056
1394_1,True,A->T,1,0.9611,0.7796976241900643,0.0,True,173.52066374,0.13890000000000002,1249.2488390208782,150.5998861399999,150.5998861399999,22.920777600000076,0.1320924961095361,1394,94.3488
1394_2,True,A->T,1,0.9639,0.8038108680310513,2.8000000000000247,False,165.65899628,0.14170000000000005,1169.0825425546925,144.58952490499993,149.12024550499999,16.538750775000032,0.09983611603589533,1394,94.3488
1394_3,True,A->T,1,0.9639,0.7737771739130435,-2.8000000000000247,True,170.72401582999998,0.1472,1159.8098901494564,156.45798267,152.10211828999996,18.62189754000002,0.10907602805303589,1394,94.3488
1403_1,True,A->T,1,0.8361,0.6413043478260865,-13.900000000000023,True,116.92798465999998,0.1347,868.0622469190794,97.17545601499995,72.2552027099999,44.67278195000006,0.38205380927327504,1403,70.308
1403_2,True,A->T,1,0.9833,0.622282608695652,-16.70000000000005,True,113.380589865,0.1318999999999999,859.5950710007588,96.42979364999998,68.0751575499999,45.30543231500009,0.3995871989107162,1403,70.308
1403_3,True,A->T,1,0.7722,0.607621736062103,-16.70000000000005,True,114.12534368499999,0.12639999999999996,902.890377254747,97.19308618000004,68.31203419499998,45.81330949000001,0.4014297614423873,1403,70.308
1561_1,True,T->A->T,2,1.5972,0.7306094182825476,-8.399999999999963,True,193.49685067499996,0.12634999999999996,1531.4353041155523,182.99819071499985,164.59279965499985,28.90405102000009,0.1493773718754097,1561,118.3896
1561_2,True,T->A->T,2,1.4778,0.771951989892609,-5.50000000000006,True,216.77386351500002,0.14300000000000013,1515.9011434615372,200.66365335500015,187.42230607500005,29.35155743999995,0.1354017360029611,1561,118.3896
1561_3,True,T->A->T,2,1.7417,0.7406666666666669,-8.299999999999974,True,211.385502165,0.13469999999999993,1569.3058809576844,198.611429555,178.83558049000004,32.54992167499996,0.1539836996465001,1561,118.3896
1562_1,True,T->A->T,2,1.3278,0.4863813229571989,-16.599999999999948,True,152.82046222499994,0.08469999999999989,1804.2557523612768,134.41184291000002,83.52945210500029,69.29101011999967,0.45341447808200863,1562,95.7096
1562_2,True,T->A->T,2,1.4194,0.524752475247525,-13.900000000000023,True,157.12482847499996,0.09310000000000007,1687.6995539742195,132.75999337500008,89.63193513499998,67.49289334000001,0.4295495116530152,1562,95.7096
1562_3,True,T->A->T,2,1.4056,0.5503597122302153,-13.800000000000034,True,157.37183492499994,0.09029999999999994,1742.766721207088,136.70216706499994,92.60530005999979,64.76653486500015,0.41155099256399025,1562,95.7096
1574_1,True,A->T->A->T,3,1.3083,0.771951989892609,-2.7999999999999137,True,114.77245984000005,0.1583000000000001,725.0313319014527,94.96784711,92.60777443000006,22.16468540999999,0.19311850108378734,1574,87.0912
1574_2,True,A->T->A->T,3,1.3472,0.7853470437017989,0.0,True,142.32397140999996,0.15559999999999996,914.6784794987146,125.78200146499992,125.78200146499992,16.541969945000062,0.11622757418247388,1574,87.0912
1574_3,True,A->T->A->T,3,1.2556,0.7896399241945679,0.0,True,146.15671061999998,0.15829999999999989,923.2893911560334,129.44290707500002,129.44290707500002,16.713803544999937,0.1143553619542997,1574,87.0912
1581_1,True,A->T->A->T,3,1.5222,0.6663999999999994,-11.10000000000011,True,158.9165981,0.125,1271.3327848,127.54963258500014,105.78358784499993,53.13301025500004,0.3343452533609203,1581,94.8024
1581_2,True,A->T->A->T,3,1.575,0.6510460251046017,-8.299999999999974,True,152.52769026499993,0.11949999999999994,1276.3823453138077,117.18083243999982,101.39686974499985,51.130820520000086,0.33522320066058797,1581,94.8024
1581_3,True,A->T->A->T,3,1.4833,0.6664000000000012,-8.399999999999963,True,154.88052651000004,0.125,1239.0442120800003,121.7640192650001,105.48719548500019,49.39333102499986,0.3189124684555532,1581,94.8024
1601_1,True,A->T,1,1.8778,0.7406666666666658,-8.300000000000196,True,162.22307161000003,0.132,1228.9626637121214,131.62649555500025,111.76729851999978,50.455773090000264,0.3110271097029948,1601,103.8744
1601_2,True,A->T,1,1.75,0.779743746186699,-5.600000000000049,True,166.52253730500007,0.14580000000000004,1142.1298854938273,132.69558369000012,118.69198597000002,47.83055133500002,0.28723169913868374,1601,103.8744
1601_3,True,A->T,1,1.3722,0.7167119565217401,-8.399999999999963,True,164.68735702,0.13469999999999993,1222.6232889383823,124.50537800000015,103.19830956000024,61.48904745999978,0.3733683542722251,1601,103.8744
1603_1,True,A->T,1,1.1944,0.678249678249677,5.499999999999838,False,89.62509772000007,0.07635000000000003,1173.871613883432,66.16382733500019,74.94725703499994,14.677840685000145,0.16376931304282136,1603,91.1736
1603_2,True,A->T,1,1.1722,0.6550868486352351,5.499999999999838,False,92.38995907500004,0.07640000000000002,1209.2926580497383,67.39909749000019,76.66687459499992,15.723084480000153,0.1701817452612628,1603,91.1736
1603_3,True,A->T,1,1.3444,0.6149584487534622,2.7000000000001467,False,82.18843077999993,0.06529999999999991,1258.628342725881,63.57203650999976,68.187137195,14.001293584999935,0.17035601546497792,1603,91.1736
1612_1,True,A->T,1,1.1889,0.565387627251371,-24.99999999999991,True,168.39359747999995,0.12769999999999992,1318.6656028191078,143.98147151499992,88.23963477000011,80.15396270999985,0.47599174736747163,1612,91.1736
1612_2,True,A->T,1,1.1806,0.7560000000000002,0.0,True,165.54831590000003,0.125,1324.3865272000003,140.54481463000013,140.54481463000013,25.00350126999987,0.15103446467618137,1612,91.1736
1612_3,True,A->T->A->T,3,1.0444,0.7824726134585286,2.6999999999999247,False,172.41313669000004,0.12780000000000002,1349.085576604069,143.23930315500016,148.393292115,24.019844575000022,0.13931562893718394,1612,91.1736
1615_1,True,T->A->T,2,1.1472,0.7386541471048509,-2.7999999999999137,True,137.93824546500005,0.12780000000000014,1079.3289942488254,123.5973022099999,119.25475015000004,18.683495315000012,0.13544825985002612,1615,87.5448
1615_2,True,T->A->T,2,1.3056,0.71090047393365,0.0,True,125.70772823000011,0.10410000000000008,1207.5670339097023,107.23149094000026,107.23149094000026,18.47623728999984,0.1469777359765419,1615,87.5448
1620_1,True,T->A->T,2,1.4194,0.5795536357091433,-19.50000000000007,True,135.381999885,0.12219999999999998,1107.872339484452,120.5587177100001,87.61320607,47.76879381500001,0.3528444982019554,1620,92.0808
1620_3,True,T->A->T,2,1.3972,0.5997120230381563,-16.69999999999994,True,133.61073766999996,0.12219999999999998,1093.3775586743043,120.10432002999985,89.83840818499995,43.77232948500002,0.3276108660750876,1620,92.0808
1623_1,True,A->T->A->T,3,1.6333,0.8650519031141864,11.099999999999888,False,169.95496023000004,0.132,1287.5375775000002,154.12195997500015,167.30079640999998,2.654163820000044,0.015616865882632459,1623,81.648
1623_2,True,A->T->A->T->A->T,5,1.9444,0.8234463276836148,8.299999999999974,False,172.61400953999993,0.12914999999999988,1336.538982113822,151.56189699499978,165.23358143499982,7.38042810500012,0.042756831410545794,1623,81.648
1623_3,True,A->T->A->T,3,1.825,0.8656509695290854,11.099999999999888,False,168.83977425000003,0.13470000000000004,1253.4504398663696,149.39088572500015,164.58643432499997,4.253339925000053,0.025191575527115775,1623,81.648
1665_1,True,T->A->T,2,1.3444,0.7998560115190781,0.0,True,171.63826578999996,0.12364999999999993,1388.0975801860095,160.87946782500003,160.87946782500003,10.758797964999937,0.06268297990241503,1665,106.596
1665_2,True,T->A->T,2,1.4556,0.7877394636015322,0.0,True,157.34335176,0.11524999999999996,1365.2351562689807,146.93739264500005,146.93739264500005,10.405959114999957,0.06613535938189778,1665,106.596
1665_3,True,T->A->T,2,1.3278,0.8200143988480928,5.600000000000049,False,167.64320346000005,0.12360000000000004,1356.3365975728154,148.6983835900001,160.03101371000017,7.61218974999986,0.04540708834531512,1665,106.596
1668_1,True,T->A->T,2,1.1944,0.6663999999999994,-8.400000000000185,True,117.98743705499999,0.11809999999999998,999.0468844623201,94.73055999000016,78.92458854999983,39.062848505000176,0.3310763372781034,1668,81.648
1668_2,True,T->A->T,2,1.4111,0.6663999999999994,-8.299999999999974,True,121.23408724499996,0.125,969.8726979599996,98.69031004999994,84.18097068999998,37.05311655499997,0.30563282486814075,1668,81.648
1668_3,True,T->A->T,2,1.1778,0.6737692872887581,-11.10000000000011,True,123.56942662999995,0.12919999999999987,956.4197107585145,103.02997493500006,85.9442097149999,37.62521691500007,0.3044864570559194,1668,81.648
1688_1,True,A->T->A->T,3,1.6278,0.7254763585038806,-8.300000000000196,True,195.62328514500012,0.13195000000000012,1482.5561587343686,175.84075385500032,157.08027823499987,38.543006910000244,0.19702668259267475,1688,106.596
1688_2,True,T->A->T,2,1.5278,0.6525821596244136,-13.900000000000023,True,173.18333337000007,0.1181000000000001,1466.4126449618961,156.5935904750002,126.21220438000022,46.9711289899999,0.2712219939181315,1688,106.596
