outcome,n,partial_r,p
stp_positive_fp_br_j,96,-0.12194576201349706,0.2365749129640108
stp_positive_fp_mer_j,96,-0.11028781631928487,0.2847510356880025
stp_active_duration_s,96,0.0968439277741093,0.3479095636733387
stp_active_mean_power_w,96,-0.18361830345448424,0.0733292097095565
stp_after_final_t_share,96,-0.9323447427317122,2.5948742090008032e-43
