session,session_mass_kg,eligible_pitch_n,final_t_phase_fp_br,final_t_minus_mer_ms,final_t_before_mer_fraction,stp_positive_fp_br_j,stp_positive_fp_mer_j,stp_active_duration_s,stp_active_mean_power_w,stp_after_final_t_share
1031,110.6784,2,0.5460160340314141,-34.8,1.0,232.67183067750005,213.2614921375001,0.13750000000000007,1692.9513508366704,0.4825673021346587
1097,101.1528,1,0.9218222722159735,16.70000000000005,0.0,133.914091365,117.79515301499993,0.16530000000000006,810.1275944646095,0.0019815536759065578
1170,82.1016,2,0.8303348641258717,2.75000000000003,0.0,149.92702453750002,144.27585246500004,0.14584999999999998,1028.689160325571,0.0231326572199946
1250,78.4728,2,0.8284495212462356,7.000000000000061,0.0,149.4289141675,139.00146321499994,0.127075,1179.0453751477755,0.028158659864394107
1346,72.1224,3,0.8280119626791,6.466666666666694,0.0,116.53907473999999,107.82923181499996,0.13193333333333335,883.6425246500613,0.0316299850713633
1370,104.328,3,0.8186573693708527,0.9333333333333046,0.6666666666666666,144.70772481499998,119.02515922666669,0.14346666666666663,1011.1979504693867,0.1661683858777977
1371,99.3384,2,0.43233636913422796,-52.80000000000001,1.0,183.25657689999997,161.67103983000004,0.14717499999999997,1245.603921736048,0.632507923102458
1393,88.9056,1,0.9055706521739129,19.400000000000084,0.0,105.267488015,95.42180444999988,0.13749999999999996,765.581731018182,0.0013003726276862473
1394,94.3488,3,0.7857618887113863,0.0,0.6666666666666666,169.96789195,150.54913123833327,0.14260000000000003,1192.7137572416757,0.11366821339948911
1403,70.308,3,0.6237362308612805,-15.766666666666708,1.0,114.81130607,96.932778615,0.13099999999999995,876.8492317248616,0.39435692320879284
1561,118.3896,3,0.7477426916139412,-7.399999999999999,1.0,207.218738785,194.09109120833332,0.13468333333333335,1538.880776178258,0.14625426917495696
1562,95.7096,3,0.5204978368116464,-14.766666666666667,1.0,155.77237520833327,134.62466778333336,0.08936666666666664,1744.9073425141949,0.43150499409967136
1574,87.0912,3,0.7823129859296586,-0.9333333333333046,1.0,134.4177139566667,116.73091854999997,0.15739999999999998,854.3330675187335,0.14123381240685365
1581,94.8024,3,0.6612820083682008,-9.266666666666682,1.0,155.44160495833333,122.16482809666668,0.12316666666666665,1262.2531140646026,0.32949364082568716
1601,103.8744,3,0.7457074564583683,-7.433333333333404,1.0,164.4776553116667,129.60915241500018,0.13749999999999998,1197.9052793814437,0.32387572103796786
1603,91.1736,3,0.6494316585461247,4.566666666666608,0.0,88.06782919166669,65.71165377833337,0.07268333333333332,1213.9308715530171,0.16810235792302067
1612,91.1736,3,0.7012867469033001,-7.433333333333329,0.6666666666666666,168.78501669000002,142.58852976666674,0.12683333333333333,1330.7125688743924,0.25544728032694564
1615,87.5448,2,0.7247773105192504,-1.3999999999999568,1.0,131.8229868475001,115.41439657500007,0.11595000000000011,1143.4480140792639,0.141212997913284
1620,92.0808,2,0.5896328293736498,-18.100000000000005,1.0,134.49636877749998,120.33151886999997,0.12219999999999998,1100.624949079378,0.3402276821385215
1623,81.648,3,0.8513830667756288,10.166666666666584,0.0,170.46958134,151.69158089833334,0.13194999999999998,1292.5089998267306,0.02785509094009801
1665,106.596,3,0.8025366246562343,1.8666666666666831,0.6666666666666666,165.54160700333333,152.17174802000008,0.1208333333333333,1369.8897780092684,0.058075142543209314
1668,81.648,3,0.6688564290962523,-9.266666666666756,1.0,120.93031697666663,98.81694832500006,0.12409999999999995,975.1130977269448,0.31373187306738787
1688,106.596,2,0.6890292590641471,-11.10000000000011,1.0,184.4033092575001,166.21717216500025,0.1250250000000001,1474.4844018481324,0.23412433825540313
1717,103.4208,2,0.7608483920367537,1.4000000000000679,0.5,108.05058538750004,85.39459802499998,0.12780000000000002,845.4424433278714,0.19123879316119569
1718,97.524,3,0.795156820629053,8.300000000000049,0.0,141.82170631,115.81808965666666,0.12085000000000001,1175.5460490408989,0.09043553303605749
1729,105.6888,3,0.7581137926799325,-3.6999999999998145,1.0,224.67002558,207.05187525666656,0.13191666666666668,1703.1795239069206,0.11571372464759021
1759,79.38,1,0.9788566953797952,30.59999999999996,0.0,149.83551912500005,120.61276226499997,0.12635000000000007,1185.8766848041153,0.00018049672172483597
1778,88.452,2,0.6501774423263527,-15.300000000000036,1.0,176.7510319625,149.290499225,0.13747499999999999,1287.034458100348,0.35797051315724515
1779,103.4208,3,0.4847155828856538,-51.86666666666662,1.0,222.98831957833337,210.4434835366666,0.14028333333333334,1590.9368871914212,0.5922249425798561
1782,97.524,4,0.784429087109124,11.125000000000052,0.0,129.15532416874998,116.78289639624992,0.1111,1163.3338893104199,0.015688087147364083
1783,90.2664,4,0.7442232846498134,-10.424999999999962,1.0,175.54612809125,145.0468525425,0.17846250000000002,983.5615570022671,0.31076706761902506
1808,98.4312,5,0.6285634345273353,-7.780000000000031,1.0,127.48850489099998,114.54493557400001,0.10252999999999998,1243.9236324440717,0.2086586015309849
1826,91.1736,5,0.7358548434670609,-4.979999999999984,1.0,163.896290109,137.421478972,0.14331999999999998,1143.5992935424363,0.22808930124837792
1830,84.3696,5,0.6310348559929634,-20.560000000000045,1.0,146.60744049500002,135.77754271500007,0.13141,1116.377883092316,0.32507912897881314
1845,92.5344,3,0.6599665543600396,-7.399999999999962,1.0,131.57599123000003,109.75077356166662,0.1124666666666667,1171.4088769011244,0.30861552318898794
2653,77.112,5,0.7550385811649648,-3.3199999999999896,1.0,159.11661612100002,130.20675394500003,0.12944000000000006,1230.5459820933336,0.21685546275379322
2655,94.3488,5,0.779490523764563,3.9199999999999675,0.0,136.87004909299998,119.846261944,0.12665999999999994,1081.119326469652,0.08560611150629789
2734,87.9984,5,0.8594685953709073,8.319999999999972,0.0,181.736346189,169.164703035,0.15081,1206.289885744348,0.024010913260752824
2742,99.792,4,0.6809897134730651,-3.474999999999895,0.75,207.2543895787499,180.9188367612499,0.11944999999999992,1740.20039056444,0.17791855675981094
2753,84.3696,4,0.6497418066319791,-15.975000000000017,1.0,142.79483173375002,126.26783687500003,0.13682500000000006,1043.970673422199,0.307165635104493
2760,82.5552,5,0.5227721110940876,-32.78000000000007,1.0,123.749182493,116.41130903500004,0.11637000000000002,1063.9780004225086,0.4774496891609372
2761,88.9056,3,0.7579664141662773,4.633333333333341,0.0,143.9102530983333,117.492975865,0.1226833333333333,1174.7731104453517,0.13160810734668904
2806,82.1016,4,0.851172649634911,9.025000000000006,0.25,121.57017644374997,106.85351122124999,0.12569999999999998,967.9205607345342,0.0594362778856048
2811,85.2768,5,0.8246254626869469,-8.879999999999955,1.0,123.35368835599999,109.68610515499995,0.16056999999999994,768.7617901708903,0.20238557312974273
2815,97.0704,5,0.6443767639394637,-19.98000000000002,1.0,201.33378365200002,167.41383286100003,0.14307000000000009,1415.6579486114588,0.4543550724473738
2818,96.1632,5,0.321273061516966,-52.220000000000105,1.0,174.206855996,155.6117486430001,0.1278,1363.5554363948338,0.6772149159181955
2833,83.916,5,0.6503559675143278,-23.87999999999999,1.0,170.92285595200002,159.177634986,0.14304999999999998,1197.1222580233205,0.2924936811315133
2843,83.4624,5,0.7919383244412771,5.560000000000054,0.0,141.79453277800002,112.86164644199998,0.12554,1131.8075714663148,0.1378138458471115
2853,89.3592,3,0.8713118302134918,11.09999999999996,0.0,142.70032753833334,133.20450420666666,0.13658333333333336,1045.5976757179678,0.00991606999863759
2857,69.4008,5,0.8601462569082431,17.240000000000013,0.0,117.846223192,104.37567145199996,0.14082000000000008,839.913961778609,0.018841234191573665
