session,all_frame_n,all_torso_accelerating_fraction,all_torso_accelerating_raw_fraction,all_thorax_net_positive_fraction,all_both_accel_and_net_positive_fraction,all_stp_weighted_accelerating_fraction,all_stp_weighted_net_positive_fraction,all_stp_weighted_both_fraction,all_mean_thorax_shoulder_stp_w,all_mean_arm_shoulder_stp_w,all_mean_thorax_net_seg_pwr_w,all_mean_torso_accel_deg_s2,pre_mer_frame_n,pre_mer_torso_accelerating_fraction,pre_mer_torso_accelerating_raw_fraction,pre_mer_thorax_net_positive_fraction,pre_mer_both_accel_and_net_positive_fraction,pre_mer_stp_weighted_accelerating_fraction,pre_mer_stp_weighted_net_positive_fraction,pre_mer_stp_weighted_both_fraction,pre_mer_mean_thorax_shoulder_stp_w,pre_mer_mean_arm_shoulder_stp_w,pre_mer_mean_thorax_net_seg_pwr_w,pre_mer_mean_torso_accel_deg_s2
1031,16.0,0.5607843137254902,0.5607843137254902,0.1215686274509804,0.1215686274509804,0.4539317760298562,0.06671504337409687,0.06671504337409687,-1937.3719029411764,1737.245850784314,-2820.7286039215683,672.9848637013948,16.0,0.5607843137254902,0.5607843137254902,0.1215686274509804,0.1215686274509804,0.4539317760298562,0.06671504337409687,0.06671504337409687,-1937.3719029411764,1737.245850784314,-2820.7286039215683,672.9848637013948
1097,49.666666666666664,0.43632653061224486,0.43632653061224486,0.1946938775510204,0.1946938775510204,0.31408481066387123,0.053749353343686336,0.053749353343686336,-1336.0903107210886,895.8488924081631,-2080.6302877687076,-1546.5465127161567,45.0,0.4821256038647343,0.4821256038647343,0.21537110232762405,0.21537110232762405,0.3381300350671099,0.05799984212388327,0.05799984212388327,-1382.0754406968233,922.4624486612503,-1951.7337710218126,-420.225122290243
1170,32.5,0.5691287878787878,0.5691287878787878,0.4460227272727273,0.4460227272727273,0.3310798574890551,0.19090870521214992,0.19090870521214992,-1158.1291062973482,991.0261362215908,-311.2541215435607,333.17563978087134,32.5,0.5691287878787878,0.5691287878787878,0.4460227272727273,0.4460227272727273,0.3310798574890551,0.19090870521214992,0.19090870521214992,-1158.1291062973482,991.0261362215908,-311.2541215435607,333.17563978087134
1250,25.5,0.3930769230769231,0.3930769230769231,0.09846153846153846,0.09846153846153846,0.2850626718628434,0.05104706067532484,0.05104706067532484,-1746.7345452307695,1396.171261769231,-3474.610979538462,-2809.147855082918,24.0,0.41666666666666663,0.41666666666666663,0.10416666666666666,0.10416666666666666,0.2955240408487876,0.05286243839016451,0.05286243839016451,-1781.573716666667,1430.2646083333334,-3450.8829750000004,-2152.310026181323
1313,44.333333333333336,0.5320690718470552,0.5320690718470552,0.0,0.0,0.3927237518292303,0.0,0.0,-1350.5440851271971,849.8539857308048,-2882.92495493062,-844.6761054626213,42.333333333333336,0.5569866825680779,0.5569866825680779,0.0,0.0,0.39623606477430373,0.0,0.0,-1350.9386108778906,880.5560429642882,-2818.2408049267874,-231.53947567743066
1346,31.0,0.3530409770676734,0.3530409770676734,0.299839327648004,0.299839327648004,0.30048199246705737,0.2400512811982751,0.2400512811982751,-1245.9055366299256,983.27425192863,-1410.6141778013728,-2230.815093214982,29.666666666666668,0.36899630541871925,0.36899630541871925,0.31326970443349755,0.31326970443349755,0.31120321519268085,0.24853460251474566,0.24853460251474566,-1261.0498633825944,992.7198444735221,-1364.2793584975368,-1620.0165599349764
1370,33.666666666666664,0.33564814814814814,0.33564814814814814,0.06060606060606061,0.020202020202020204,0.25581935750444523,0.057356283772477486,0.009462346424342813,-1559.9381890572392,1178.142163425926,-2732.4212144255052,-2368.112222568729,33.666666666666664,0.33564814814814814,0.33564814814814814,0.06060606060606061,0.020202020202020204,0.25581935750444523,0.057356283772477486,0.009462346424342813,-1559.9381890572392,1178.142163425926,-2732.4212144255052,-2368.112222568729
1371,16.5,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7653517174808182,0.7653517174808182,0.7653517174808182,-980.5150849264705,800.679162132353,2038.3265455882351,6222.616895876321,16.5,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7653517174808182,0.7653517174808182,0.7653517174808182,-980.5150849264705,800.679162132353,2038.3265455882351,6222.616895876321
1393,39.333333333333336,0.568726653482751,0.560596572181938,0.372874093605801,0.34848384970336194,0.35508654649504345,0.13793854187557233,0.12169690513128269,-992.3703933816745,637.8591819067238,-385.64289957701595,-294.77958885270635,33.666666666666664,0.6633986928104575,0.6535947712418301,0.435531788472965,0.40612002376708256,0.3957644321489928,0.15386183076697946,0.13570269572546959,-1028.2040308080807,668.2106851158645,-64.5183151515151,1452.9812720573093
1394,40.333333333333336,0.413174900979779,0.413174900979779,0.32165937043985826,0.32165937043985826,0.26277961330630256,0.17796308895137466,0.17796308895137466,-1681.6165180112573,1329.637642630811,-1396.625880321034,-428.5145699798668,40.333333333333336,0.413174900979779,0.413174900979779,0.32165937043985826,0.32165937043985826,0.26277961330630256,0.17796308895137466,0.17796308895137466,-1681.6165180112573,1329.637642630811,-1396.625880321034,-428.5145699798668
1403,32.666666666666664,0.6122036302301957,0.6122036302301957,0.7221838882180438,0.5600406340444292,0.4716228599989525,0.6030584244374434,0.40607409022911883,-994.6904168420448,743.2060550073793,1689.7148460650144,1636.1041773048664,32.666666666666664,0.6122036302301957,0.6122036302301957,0.7221838882180438,0.5600406340444292,0.4716228599989525,0.6030584244374434,0.40607409022911883,-994.6904168420448,743.2060550073793,1689.7148460650144,1636.1041773048664
1561,18.666666666666668,0.4103313840155945,0.4103313840155945,0.0925925925925926,0.0925925925925926,0.3484591347532251,0.07548117471059017,0.07548117471059017,-2602.428443859649,2047.9185540935675,-1302.6259822612085,-2979.6546807776954,18.666666666666668,0.4103313840155945,0.4103313840155945,0.0925925925925926,0.0925925925925926,0.3484591347532251,0.07548117471059017,0.07548117471059017,-2602.428443859649,2047.9185540935675,-1302.6259822612085,-2979.6546807776954
1562,15.0,0.6222222222222222,0.6222222222222222,0.6444444444444445,0.5777777777777778,0.4092738494550044,0.44623394806770006,0.36527273843678126,-2179.8205644444447,1681.4837355555555,1678.764711111111,1558.1245493369786,15.0,0.6222222222222222,0.6222222222222222,0.6444444444444445,0.5777777777777778,0.4092738494550044,0.44623394806770006,0.36527273843678126,-2179.8205644444447,1681.4837355555555,1678.764711111111,1558.1245493369786
