session_pitch,user,session_height_m,pitch_speed_mph,fp_poi_time,ER90_time,MER_time,BR_time,ER90_to_MER_duration_s,shoulder_angle_z_at_MER_deg,hand_jc_z_at_ER90_m,hand_jc_z_at_MER_m,max_hand_height_drop_m,max_hand_height_drop_cm,max_hand_height_drop_pct_body_height,max_hand_height_drop_start_time,max_hand_height_drop_end_time,max_hand_height_drop_duration_s,height_drop_cm_within_pitcher,speed_mph_within_pitcher
1031_2,750,1.9304,90.4,1.1861,1.2374928070048483,1.3056,1.3389,0.06810719299515178,162.348,1.2827107894927274,1.3634,0.05081078949272744,5.081078949272744,2.632137872602955,1.2374928070048483,1.2722,0.03470719299515168,0.35928675268808163,0.0
1031_3,750,1.9304,90.4,0.6778,0.7275097189197307,0.7917,0.825,0.06419028108026925,162.8656,1.2576250544389658,1.3458,0.043625054438965805,4.3625054438965805,2.2598971425075534,0.7275097189197307,0.7583,0.030790281080269266,-0.35928675268808163,0.0
1097_1,774,1.9304,77.6,0.825,0.9140624075045156,0.9722,1.0028,0.058137592495484336,158.8107,1.5130071957117053,1.6486,0.005807195711705182,0.5807195711705182,0.30082862161754986,0.9140624075045156,0.9278,0.013737592495484341,0.06475130949535524,0.7000000000000028
1097_2,774,1.9304,77.0,0.8917,0.9711301928270837,1.0306,1.0611,0.05946980717291628,155.2244,1.4754113183845237,1.6252,0.00631131838452359,0.631131838452359,0.3269435549380227,0.9711301928270837,0.9861,0.014969807172916294,0.11516357677719602,0.10000000000000853
1097_3,774,1.9304,76.1,0.85,0.9405789324919477,1.0028,1.0306,0.06222106750805223,156.2257,1.483560533754026,1.689,0.003360533754026118,0.3360533754026118,0.17408484013811223,0.9405789324919477,0.95,0.009421067508052272,-0.17991488627255114,-0.7999999999999972
1170_1,653,1.9304,80.9,1.0,1.0582183016491402,1.1361,1.1667,0.0778816983508599,155.2434,1.31006354316178,1.4726,0.04956354316178002,4.956354316178002,2.5675271012111494,1.0582183016491402,1.0917,0.03348169835085968,0.08520979225487046,-0.8499999999999943
1170_2,653,1.9304,82.6,0.8861,0.9412975310053152,1.0167,1.0472,0.07540246899468472,157.7356,1.2913593473166827,1.4675,0.04785934731668262,4.785934731668262,2.4792450951451834,0.9412975310053152,0.975,0.033702468994684764,-0.08520979225486958,0.8499999999999943
1250_1,738,1.7526,88.1,0.6389,0.6995174019433159,0.7472,0.7778,0.04768259805668407,164.4621,1.2404,1.3548,0.0,0.0,0.0,0.6995174019433159,0.6995174019433159,0.0,-0.3761502837684394,-0.25
1250_3,738,1.7526,88.6,0.6639,0.7201343564131669,0.7694,0.8,0.04926564358683305,171.7483,1.2397230056753687,1.3542,0.007523005675368788,0.7523005675368788,0.4292482982636533,0.7201343564131669,0.7333,0.013165643586833031,0.3761502837684394,0.25
1313_1,789,1.8288,85.8,0.9417,1.0209085337443102,1.0722,1.1028,0.05129146625568981,158.2767,1.390061628615462,1.497,0.0,0.0,0.0,1.0209085337443102,1.0209085337443102,0.0,-0.08110386474779278,-0.03333333333333144
1313_2,789,1.8288,85.9,0.8833,0.961568835790544,1.0139,1.0444,0.05233116420945605,159.9967,1.3612832558646233,1.4609,0.00018325586462331067,0.018325586462331067,0.010020552527521362,0.961568835790544,0.9694,0.007831164209456065,-0.06277827828546172,0.06666666666667709
1313_3,789,1.8288,85.8,0.95,1.0245346392737695,1.0806,1.1111,0.05606536072623047,163.6532,1.3742498600778106,1.4872,0.0022498600778104727,0.22498600778104727,0.12302384502463214,1.0245346392737695,1.0389,0.014365360726230403,0.14388214303325447,-0.03333333333333144
1346_1,894,1.8288,84.6,0.9694,1.016702590066084,1.0806,1.1139,0.06389740993391602,181.1754,1.3302906949477722,1.3923,0.08729069494777209,8.729069494777209,4.773113240801186,1.016702590066084,1.05,0.033297409933916056,0.5339256753282324,-0.03333333333333144
1346_2,894,1.8288,84.5,1.0056,1.057453826480425,1.1194,1.15,0.06194617351957499,181.247,1.3700205783985837,1.4383,0.07502057839858378,7.502057839858378,4.102175109283889,1.057453826480425,1.0861,0.028646173519575102,-0.6930859795905979,-0.13333333333332575
1346_3,894,1.8288,84.8,0.975,1.028740370695328,1.0917,1.1222,0.06295962930467192,180.423,1.3704430412371134,1.4248,0.08354304123711342,8.354304123711342,4.5681890440241375,1.028740370695328,1.0611,0.032359629304671955,0.15916030426236638,0.1666666666666714
1370_1,905,1.905,87.8,0.8306,0.8845018816921186,0.9417,0.9694,0.05719811830788135,156.3049,1.526726420923293,1.5471,0.03842642092329296,3.842642092329296,2.017134956603305,0.8845018816921186,0.9167,0.03219811830788133,0.3833762733232473,0.5999999999999943
1370_2,905,1.905,86.9,0.7889,0.8594294256607116,0.9194,0.9444,0.05997057433928843,158.2781,1.4715302377085486,1.508,0.032130237708548615,3.2130237708548615,1.6866266513673813,0.8594294256607116,0.8917,0.03227057433928848,-0.2462420481511871,-0.29999999999999716
1370_3,905,1.905,86.9,1.2056,1.256866281289775,1.3139,1.3417,0.057033718710225,158.9088,1.5014213159383398,1.5253,0.03322131593833988,3.322131593833988,1.743901099125453,1.256866281289775,1.2889,0.03203371871022487,-0.13713422517206064,-0.29999999999999716
1371_2,906,1.8034,87.4,0.5917,0.6336820633812648,0.7083,0.7472,0.07461793661873528,176.3965,1.2930040988412679,1.2106,0.15680409884126778,15.680409884126778,8.69491509600021,0.6336820633812648,0.6861,0.052417936618735284,0.7829367384689867,-0.19999999999998863
1371_3,906,1.8034,87.8,0.5917,0.6434296551176517,0.7167,0.7528,0.07327034488234829,177.1948,1.308345364071888,1.2423,0.14114536407188805,14.114536407188805,7.826625489180884,0.6434296551176517,0.6944,0.050970344882348306,-0.7829367384689867,0.20000000000000284
1393_1,919,1.6764,71.3,0.8222,0.85351716910256,0.9417,0.975,0.08818283089743995,150.535,1.2392362290476342,1.437,0.1284362290476342,12.843622904763418,7.661430985900393,0.85351716910256,0.8944,0.04088283089743994,0.2673427891298452,1.0666666666666629
1393_2,919,1.6764,69.9,0.8917,0.9282571123531997,1.0167,1.05,0.0884428876468002,150.36,1.2491511304402436,1.4417,0.12555113044024369,12.555113044024369,7.489330138406329,0.9282571123531997,0.9694,0.0411428876468003,-0.021167071609204058,-0.3333333333333286
1393_3,919,1.6764,69.5,0.8889,0.9157955288388373,1.0028,1.0361,0.08700447116116261,151.2893,1.2485010439811293,1.4341,0.12330104398112929,12.33010439811293,7.355108803455577,0.9157955288388373,0.9556,0.0398044711611627,-0.24617571752064293,-0.7333333333333343
1394_1,920,1.905,86.3,0.8528,0.9002325808023388,0.9611,0.9917,0.06086741919766114,169.2997,1.2935773382213045,1.4432,0.055677338221304495,5.5677338221304495,2.922694919753517,0.9002325808023388,0.925,0.024767419197661233,0.15353187820036762,-0.30000000000001137
1394_2,920,1.905,86.7,0.85,0.9020336891149833,0.9611,0.9917,0.05906631088501668,170.0083,1.2850084056386242,1.4339,0.050208405638624276,5.020840563862428,2.635611844547206,0.9020336891149833,0.925,0.022966310885016772,-0.3933613800676543,0.09999999999999432
1394_3,920,1.905,86.8,0.85,0.9032996902707177,0.9667,0.9972,0.06340030972928234,171.4072,1.2782403144579737,1.462,0.056540314457973695,5.6540314457973695,2.9679955096049184,0.9032996902707177,0.9278,0.0245003097292823,0.23982950186728758,0.19999999999998863
1403_1,927,1.778,78.7,0.7417,0.7715062616474097,0.85,0.8889,0.07849373835259033,179.194,1.251272540067089,1.3103,0.07847254006708893,7.8472540067088925,4.4135286876877915,0.7715062616474097,0.8167,0.04519373835259033,-0.23766258177232835,0.30000000000001137
1403_2,927,1.778,78.6,0.8917,0.9219025129982669,1.0,1.0389,0.07809748700173313,179.7406,1.2522062453577618,1.2962,0.08480624535776182,8.480624535776183,4.769755081988854,0.9219025129982669,0.9694,0.047497487001733174,0.3957079472949623,0.20000000000000284
1403_3,927,1.778,77.9,0.6861,0.7119531690654832,0.7889,0.8278,0.07694683093451682,179.8952,1.2353687122295858,1.316,0.07926871222958587,7.926871222958587,4.4583077744424005,0.7119531690654832,0.7556,0.04364683093451682,-0.15804536552263393,-0.4999999999999858
1561_1,949,1.9304,86.0,1.4917,1.5373960409874243,1.6056,1.6361,0.06820395901257559,171.2329,1.568722769312662,1.4631,0.13242276931266206,13.242276931266206,6.859861651091073,1.5373960409874243,1.5917,0.054303959012575564,0.5731722044062781,0.46666666666665435
1561_2,949,1.9304,84.6,1.3556,1.414415197760821,1.4833,1.5139,0.06888480223917903,173.3027,1.5554432041584751,1.4696,0.11214320415847512,11.214320415847512,5.809324707753581,1.414415197760821,1.4667,0.05228480223917886,-1.454784311012416,-0.9333333333333513
1561_3,949,1.9304,86.0,1.6306,1.6782557260103197,1.75,1.7806,0.07174427398968031,175.046,1.5671071683346607,1.4643,0.1355071683346607,13.550716833466069,7.019641956830745,1.6782557260103197,1.7333,0.05504427398968037,0.8816121066061413,0.46666666666665435
1562_1,874,1.8542,91.8,1.2778,1.2862589196386116,1.3444,1.3806,0.05814108036138843,172.3515,1.2424770233000473,0.9471,0.2964770233000473,29.647702330004734,15.989484591740228,1.2862589196386116,1.3417,0.055441080361388284,2.069211722658764,0.9000000000000057
1562_2,874,1.8542,90.3,1.3611,1.3781149986396672,1.4333,1.4722,0.055185001360332775,172.8179,1.20586875704458,0.9315,0.27446875704458007,27.44687570445801,14.802543255559275,1.3781149986396672,1.4306,0.05248500136033285,-0.13161490288796074,-0.5999999999999943
1562_3,874,1.8542,90.6,1.3444,1.365386361814538,1.4194,1.4556,0.0540136381854619,174.8582,1.2105089378757516,0.9563,0.2564089378757517,25.64089378757517,13.828548046367798,1.365386361814538,1.4167,0.051313638185461974,-1.9375968197707998,-0.29999999999999716
1574_1,952,1.9304,89.8,1.1861,1.2324718196053868,1.3111,1.3444,0.07862818039461317,184.7196,1.349984040087692,1.3593,0.056184040087691844,5.618404008769184,2.910486950253411,1.2324718196053868,1.2861,0.053628180394613256,-3.9615438980052637,0.5
1574_2,952,1.9304,88.6,1.225,1.2742401137707327,1.3472,1.3806,0.0729598862292673,181.0923,1.3765298009012177,1.3308,0.11602980090121773,11.602980090121772,6.0106610495864965,1.2742401137707327,1.325,0.050759886229267304,2.0230321833473237,-0.7000000000000028
1574_3,952,1.9304,89.5,1.1306,1.1827445558654246,1.2556,1.2889,0.07285544413457545,183.9835,1.4012845962143239,1.3524,0.11518459621432386,11.518459621432386,5.966877135014705,1.1827445558654246,1.2333,0.05055544413457547,1.9385117146579383,0.20000000000000284
1581_1,956,1.7018,82.3,1.4389,1.4670115241737982,1.5333,1.5639,0.0662884758262019,162.6345,1.279880806802234,1.4254,0.058480806802234,5.8480806802234,3.436408908346104,1.4670115241737982,1.4944,0.02738847582620174,-0.23610358912085871,-0.23333333333333428
1581_2,956,1.7018,82.3,1.4972,1.5172162685528756,1.5833,1.6167,0.06608373144712432,163.9942,1.2798188891465678,1.382,0.06461888914656777,6.461888914656777,3.7970906773162403,1.5172162685528756,1.5472,0.029983731447124295,0.37770464531251857,-0.23333333333333428
1581_3,956,1.7018,83.0,1.4,1.4246270435535044,1.4917,1.525,0.06707295644649558,163.8234,1.279825832131526,1.4109,0.05942583213152597,5.942583213152597,3.4919398361456087,1.4246270435535044,1.4528,0.028172956446495645,-0.14160105619166163,0.46666666666666856
1601_1,628,1.8542,86.3,1.7667,1.8113950222222222,1.8861,1.9167,0.07470497777777796,174.1473,1.4616465428571428,1.5661,0.09784654285714289,9.78465428571429,5.277022050325902,1.8113950222222222,1.8472,0.0358049777777778,-1.0211349441441087,0.09999999999999432
1601_2,628,1.8542,86.1,1.6222,1.6773155408970977,1.7556,1.7861,0.07828445910290238,175.7553,1.439424637203166,1.5016,0.1103246372031661,11.03246372031661,5.949985826942406,1.6773155408970977,1.7194,0.04208445910290237,0.22667449045821186,-0.10000000000000853
