outcome,panel,n,r2,adjusted_r2,cv_r2_mean,cv_r2_sd
gated_stp_j,mass,100,0.29388022813221737,0.2866749243376482,0.09338432421464735,0.48675254293790354
gated_stp_j,mass_plus_fp_separation_torso,100,0.406318576087347,0.3877660315900766,0.1739794509744992,0.4982949556420594
gated_stp_j,mass_plus_max_separation_torso,100,0.3496902905189564,0.3293681120976738,0.10666954718222638,0.5194322879191586
gated_jfp_j,mass,100,0.43980803279493874,0.43409178823162187,0.24418125139127583,0.537487858944511
gated_jfp_j,mass_plus_fp_separation_torso,100,0.5132634530988922,0.49805293600823264,0.30520965690017,0.4004239608027116
gated_jfp_j,mass_plus_max_separation_torso,100,0.4936661670379413,0.47784323475787693,0.2813644378534128,0.4501679797797919
