session,session_mass_kg,pitch_n,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp
1031,110.6784,2,0.11670000000000008,456.7856761175001,213.2614921375001,243.52418398000003,-4.263256414560601e-14,213.2614921375001,0.0,243.85681480000005,-0.3326308200000058,717.7471854573819,4.45142130124064,-0.47309813941363654,-0.6329352780132986,3837.059954713257,0.6282467532467533,0.3717532467532467,963.8322000000001,32.43495,31.432299999999998
1097,101.1528,3,0.14629999999999996,291.10365190833323,111.37941546666657,179.7242364416666,3.789561257387201e-14,111.37941546666657,0.0,180.1251611616666,-0.40092472000000184,551.4798877352,4.233836118019162,-0.3010725003091746,-0.610513224821331,2498.0031151595417,0.1608309990662932,0.8391690009337068,1101.9797999999998,30.0224,29.248933333333337
1170,82.1016,2,0.13335000000000002,306.29855546,144.27585246500004,162.02270299499997,-1.4210854715202004e-14,144.27585246500004,0.0,162.310706375,-0.2880033800000038,459.68269246691864,4.443177368953103,-0.5752593598192547,-0.5864752434513334,2637.373254272048,0.33625,0.6637500000000001,966.3392,38.210899999999995,38.1428
1250,78.4728,2,0.10689999999999994,314.68618345999994,139.00146321499994,175.684720245,2.842170943040401e-14,139.00146321499994,0.0,184.36334742999998,-8.678627184999982,576.3210381085685,4.329699573143893,0.03250835090244491,-0.3887958002334085,2358.528577636185,0.39230769230769236,0.6076923076923078,1089.6413,29.0539,28.57885
1313,84.3696,3,0.13056666666666672,286.0721733383334,104.43627970166669,181.63589363666665,4.7369515717340014e-14,104.43627970166669,0.0,181.70868628500003,-0.07279264833333411,396.30714287029497,4.2484509837584055,-0.3756144005061515,-0.8176275902171825,2056.925404925495,0.11805555555555557,0.8819444444444445,1202.8898666666666,40.24033333333333,38.57816666666667
1346,72.1224,3,0.11389999999999993,247.21766723333326,107.82923181499996,139.38843541833333,-2.842170943040401e-14,107.82923181499996,0.0,143.71921192499997,-4.330776506666656,394.52678857750425,4.565505705908781,-0.2754628495183565,-0.8290534317011441,2138.6305759067523,0.29262440464936207,0.707375595350638,1154.1802333333333,41.97456666666667,41.92946666666666
1370,104.328,3,0.11663333333333332,378.8641440816668,119.02515922666669,259.83898485500004,0.0,119.02515922666669,0.0,259.90275044500004,-0.06376559000000208,642.7989126569063,4.734632306325129,-0.740292117105942,-0.5529507805075858,4587.9586761376,0.21504065040650408,0.784959349593496,1153.6634000000001,28.7904,28.366966666666666
1371,99.3384,2,0.12080000000000002,369.1981801725001,160.65317684250005,208.54500333000004,-1.4210854715202004e-14,160.65317684250005,0.0,211.1124231425,-2.5674198125000016,545.7649918581826,4.494427212767725,0.06278741923094644,-0.5164431776941637,2256.3993908162884,0.628412537917088,0.37158746208291205,1043.09965,30.563200000000002,29.959400000000002
1393,88.9056,3,0.11946666666666657,227.0808599699999,100.70647961499992,126.37438035499993,9.473903143468002e-15,100.70647961499992,0.0,127.56017542499994,-1.1857950699999995,407.1836092962222,3.9598459476458037,0.13168106749213662,-0.4065225213132184,1337.8195616066073,0.23378191856452726,0.7662180814354728,970.0637999999999,15.098933333333333,14.824599999999998
1394,94.3488,3,0.11203333333333332,350.46034285666656,150.54913123833327,199.91121161833325,2.842170943040401e-14,150.54913123833327,0.0,202.12860708833327,-2.2173954700000023,591.4289018414719,4.252571459054651,-0.33079241596394626,-0.743666128169577,2877.01602907682,0.02383720930232558,0.9761627906976744,1036.0894666666666,27.977800000000002,27.92063333333333
1403,70.308,3,0.10646666666666664,222.60384918666668,96.932778615,125.67107057166668,1.8947806286936004e-14,96.932778615,0.0,126.09823013833335,-0.4271595666666626,371.9136286735486,4.102805043377925,-0.5321949687124811,-0.9225069663445015,2136.1706546744235,0.16973684210526316,0.8302631578947368,1002.1514999999999,30.64663333333333,30.237133333333333
1561,118.3896,3,0.12033333333333333,426.88817336833336,194.09109120833332,232.79708215999997,0.0,194.09109120833332,0.0,233.873204135,-1.0761219750000062,681.567432746739,4.2690873593413885,-0.5249768003632754,-0.8822981366039553,3804.7511109939182,0.5776073807988702,0.4223926192011298,1064.0885666666666,33.5514,33.06146666666667
1562,95.7096,3,0.07126666666666666,307.264530395,134.62466778333336,172.63986261166667,-1.8947806286936004e-14,134.62466778333336,0.0,172.63986261166667,0.0,780.4555556025966,4.420211603288904,-0.8057533265566749,-0.4556533645465868,5168.1381088865455,0.43624338624338627,0.5637566137566138,1076.8007333333333,33.5469,32.2683
1574,87.0912,3,0.12406666666666662,300.95142084333327,116.73091854999997,184.2205022933333,-2.842170943040401e-14,116.73091854999997,0.0,184.35623812666665,-0.13573583333333342,527.0103137043251,4.311147365078416,-0.6660773788107368,-0.7019551400297126,3158.416631437383,0.5397745571658615,0.4602254428341384,1015.3172,27.660933333333332,27.428066666666666
1581,94.8024,3,0.09073333333333333,299.22469923166665,122.16482809666668,177.059871135,-1.8947806286936004e-14,122.16482809666668,0.0,177.059871135,0.0,599.9634377859942,4.114772753074832,-0.6936289822022097,-0.6484932954134864,3681.7657023655725,0.4060049019607843,0.5939950980392157,1090.8969,28.012166666666662,22.096099999999996
1601,103.8744,3,0.12223333333333342,372.3390857983336,129.56636498166685,242.77272081666675,2.842170943040401e-14,129.56636498166685,0.0,242.88360651666676,-0.11088570000000005,565.5734930175166,4.716922188063001,-0.2552244790282088,-0.5325557728037293,3090.138221892766,0.09588159588159588,0.904118404118404,1034.2236666666665,35.1596,33.70226666666667
1603,91.1736,3,0.04540000000000003,162.44603929500013,65.71165377833337,96.73438551666673,1.4210854715202004e-14,65.71165377833337,0.0,96.73438551666673,0.0,617.1017998875365,5.207090199685825,-0.21342523083050557,0.9608469883251148,2722.0272523186454,0.0,1.0,1031.4215666666666,24.7589,9.833733333333333
