source,source_label,source_stage,target,target_label,target_stage,n,sessions,raw_r,raw_p,cluster_beta,cluster_p,within_r,within_pearson_p,within_cluster_p,within_q,cluster_q,selected
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,pelvis_anterior_tilt_fp,Pelvis anterior tilt (+),Foot plant,403,100,0.3444809459982077,1.1371816594397425e-12,0.34448094599820783,8.785728831551909e-06,-0.04180734592719943,0.4025725069861953,0.6882279353143326,0.870778600012085,0.00023658712639250496,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,pelvis_rotation_fp,Pelvis rotation,Foot plant,403,100,-0.1342656534746628,0.006950138891707509,-0.13426565347466277,0.18469876001206598,-0.09604995061937344,0.05402244098610676,0.3369748030280586,0.6137173948868507,0.4048339100264469,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,torso_anterior_tilt_fp,Torso flexion (+) at FP,Foot plant,403,100,0.09129519698853444,0.06711986135196248,0.09129519698853446,0.38188899666413056,0.04348903476194276,0.3838980464614443,0.6049885787449562,0.8354604182668441,0.6171018645739844,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,torso_rotation_fp,Torso rotation,Foot plant,403,100,-0.16309485444384422,0.0010163378706589245,-0.16309485444384417,0.10137148716190421,-0.08790047146028455,0.07798123235481243,0.40946421272496836,0.6984977746484754,0.2762617680996235,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,rotation_hip_shoulder_separation_fp,Hip-shoulder separation,Foot plant,403,100,0.07804967099741493,0.11773386899082504,0.07804967099741494,0.410799927592688,-0.00035943256537022614,0.9942607494782869,0.9968461695064733,0.9968461695064733,0.6479982121441146,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,shoulder_horizontal_abduction_fp,Shoulder horizontal abduction (+),Foot plant,403,100,0.1283994235175447,0.00987194690259559,0.12839942351754474,0.20614168522779241,0.1090538042475083,0.02859887702350075,0.32556565282468497,0.6038619211889652,0.4302794464752413,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,shoulder_external_rotation_fp,Shoulder external rotation,Foot plant,403,100,-0.14757868065445082,0.002980947437580127,-0.1475786806544508,0.09797044344716586,-0.09078135833787927,0.06867940091671569,0.3891130475157957,0.672915683089243,0.27157983220280535,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,lead_knee_extension_angular_velo_fp,Lead-knee extension velocity,Foot plant,403,100,0.11694827849365992,0.01884961188200114,0.11694827849365999,0.24246776566054384,0.016394201326844347,0.7428276836664381,0.803708524051437,0.9288218552240541,0.4736287443213732,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,max_pelvis_rotational_velo,Peak pelvis rotation velocity,Rotation / MER,403,100,-0.1286312787925289,0.009738435112327021,-0.1286312787925289,0.24591637246991693,-0.06960740311545235,0.16310313279874783,0.2104216669572483,0.4808726932943669,0.47543832010850606,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,max_torso_rotational_velo,Peak torso rotation velocity,Rotation / MER,403,100,-0.06376204115965042,0.20148287411745305,-0.0637620411596504,0.5505185245968374,0.028336615598767982,0.5705779406930405,0.5328802348808607,0.7909285375987578,0.7328733061216385,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,timing_peak_torso_to_peak_pelvis_rot_velo,Pelvis-to-torso peak timing,Rotation / MER,403,100,-0.05252058254597403,0.2928938803300674,-0.05252058254597402,0.438775316862417,-0.025935239004646244,0.6036795717578722,0.6380895630098278,0.8470414269531868,0.6724320912891512,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,max_rotation_hip_shoulder_separation,Peak hip-shoulder separation,Rotation / MER,403,100,0.08329522910557223,0.09494924753886497,0.08329522910557222,0.4406301343925808,-0.02471453321171209,0.6208293683528089,0.6848770630781449,0.870778600012085,0.6725407314413075,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,max_shoulder_external_rotation,Maximum shoulder ER,Rotation / MER,403,100,-0.19776645561165132,6.405520143272413e-05,-0.19776645561165138,0.031485080901429444,0.08790051059299897,0.07798109938755547,0.09595223256253309,0.2917257393231853,0.1348849488618057,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,torso_anterior_tilt_mer,Torso flexion (+) at MER,Rotation / MER,403,100,-0.17353177609969767,0.0004663229339168122,-0.17353177609969764,0.08180744507240571,0.06544936177668707,0.1897862028687311,0.30130912437816415,0.5845869895663586,0.24284572277399177,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,torso_rotation_mer,Torso rotation at MER,Rotation / MER,403,100,-0.20588839649234789,3.1128537831547606e-05,-0.20588839649234786,0.011803121159811497,-0.026895199594798667,0.5903439427891929,0.6922888288260366,0.870778600012085,0.06192187473314666,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,lead_knee_extension_from_fp_to_br,Lead-knee extension FP-BR,Acceleration / release,403,100,0.06424640076490994,0.1980729078716808,0.06424640076490991,0.5733465981432015,-0.07991816572257168,0.10917202795445019,0.1584762629882308,0.4092161037435823,0.7479296453286747,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,max_shoulder_internal_rotational_velo,Shoulder IR velocity,Acceleration / release,403,100,-0.08251128469029756,0.09811148417961033,-0.08251128469029756,0.38223291066028675,-0.006448751548091513,0.8973125404682968,0.8684510116238645,0.9573275771409268,0.6171018645739844,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,max_elbow_extension_velo,Elbow extension velocity,Acceleration / release,403,100,0.07271058954721074,0.1451025430076909,0.07271058954721074,0.5050773560994475,-0.013537413655234655,0.7864449021274669,0.842432998092119,0.9442631430388392,0.7057708763104947,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,torso_anterior_tilt_br,Torso flexion (+) at BR,Acceleration / release,403,100,-0.17390125928950814,0.0004532624554257292,-0.17390125928950814,0.09477362566528248,0.13027664110842632,0.008836151908670943,0.007225178361959129,0.04465397118784577,0.26663923041650367,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,torso_rotation_br,Torso rotation at BR,Acceleration / release,403,100,-0.17451129322237635,0.00043244085089553055,-0.17451129322237632,0.03474269022966477,0.024827165415803334,0.6192381684426804,0.6796179392411275,0.870778600012085,0.1471684743436362,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,arm_slot,Arm slot,Acceleration / release,403,100,-0.12525457575133253,0.011850142303856082,-0.1252545757513325,0.1771694767481995,0.06127828150467878,0.21964010735923367,0.3638420911552208,0.6381764368664478,0.39289936902394834,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,pitch_speed_mph,Pitch velocity,Outcomes,403,100,0.2735353031141402,2.392553204122822e-08,0.2735353031141402,0.0018969125883866332,-0.03975236700197069,0.426113980192167,0.5148195577797938,0.7794657561565553,0.017878401145544016,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,elbow_varus_moment,Elbow varus moment,Outcomes,403,100,0.5160621998259078,8.289750996700869e-29,0.5160621998259081,1.529228403089352e-06,0.01846216139541096,0.7117509198860297,0.690743005582347,0.870778600012085,5.765191079646857e-05,False
rear_grf_mag_max,Rear GRF magnitude,Drive / stride,shoulder_internal_rotation_moment,Shoulder IR moment,Outcomes,403,100,0.5129206611833486,2.0135347144980405e-28,0.5129206611833486,1.8724375755515243e-07,0.010125689098429666,0.8394120550815004,0.8336937644090666,0.9442631430388392,1.0084413799756066e-05,False
rear_grf_z_max,Rear vertical GRF,Drive / stride,pelvis_anterior_tilt_fp,Pelvis anterior tilt (+),Foot plant,403,100,0.26625680453177586,5.7395029616389235e-08,0.26625680453177586,0.0015693513300891197,-0.10190490095716254,0.0408846557608942,0.2753706110560301,0.5642104367832791,0.01517039619086149,False
rear_grf_z_max,Rear vertical GRF,Drive / stride,pelvis_rotation_fp,Pelvis rotation,Foot plant,403,100,-0.14175269006112182,0.00435494714158205,-0.1417526900611218,0.15455883078909438,-0.08568262029855778,0.08581774399185275,0.4737497481320213,0.7536019200243546,0.3574765595551447,False
rear_grf_z_max,Rear vertical GRF,Drive / stride,torso_anterior_tilt_fp,Torso flexion (+) at FP,Foot plant,403,100,0.07737266871643347,0.12096249886071976,0.07737266871643345,0.4577012730698109,0.037178444165569605,0.4567003768075564,0.699512707529999,0.870778600012085,0.6793440155406248,False
rear_grf_z_max,Rear vertical GRF,Drive / stride,torso_rotation_fp,Torso rotation,Foot plant,403,100,-0.15458306431593974,0.0018562172945332433,-0.15458306431593954,0.1281661577990108,-0.08336185208041588,0.09468430142068875,0.5197196159271649,0.7818408814426411,0.3160941502310997,False
rear_grf_z_max,Rear vertical GRF,Drive / stride,rotation_hip_shoulder_separation_fp,Hip-shoulder separation,Foot plant,403,100,0.04917311137396238,0.32478478773660685,0.04917311137396238,0.6181298707436554,0.0029877396935716434,0.9523210696929514,0.9746409738769196,0.9915367009717977,0.7783347688884727,False
